id|drop_mesh1|icon|durability|weight|material|crystallizable|stackable|family|grade
769|dropitems.drop_sack_m00|icon.armor_head15|-1|0|8|0|2|0|0
770|dropitems.drop_sack_m00|icon.weapon_voodoo_doll_i00|-1|0|8|0|2|0|0
771|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
772|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
773|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
774|dropitems.drop_sack_m00|icon.weapon_1hs04|-1|0|8|0|2|0|0
775|dropitems.drop_sack_m00|icon.weapon_1hs05|-1|0|8|0|2|0|0
776|dropitems.drop_sack_m00|icon.weapon_1hs23|-1|0|8|0|2|0|0
777|dropitems.drop_sack_m00|icon.weapon_1hs11|-1|0|8|0|2|0|0
778|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
779|dropitems.drop_sack_m00|icon.armor_finger01|-1|0|8|0|2|0|0
780|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
781|dropitems.drop_sack_m00|icon.armor_neck02|-1|0|8|0|2|0|0
782|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
783|dropitems.drop_sack_m00|icon.item_normal50|-1|0|8|0|2|0|0
784|dropitems.drop_sack_m00|icon.weapon_ss02|-1|0|8|0|2|0|0
785|dropitems.drop_sack_m00|icon.weapon_ss03|-1|0|8|0|2|0|0
786|dropitems.drop_sack_m00|icon.weapon_ss04|-1|0|8|0|2|0|0
787|dropitems.drop_sack_m00|icon.item_normal26|-1|0|8|0|2|0|0
788|dropitems.drop_sack_m00|icon.armor_neck01|-1|0|8|0|2|0|0
789|dropitems.drop_sack_m00|icon.item_canuse34|-1|0|8|0|2|0|0
790|dropitems.drop_sack_m00|icon.weapon_ss09|-1|0|8|0|2|0|0
791|dropitems.drop_sack_m00|icon.armor_head15|-1|0|8|0|2|0|0
792|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
793|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
794|dropitems.drop_sack_m00|icon.item_normal40|-1|0|8|0|2|0|0
795|dropitems.drop_sack_m00|icon.weapon_mace13|-1|0|8|0|2|0|0
796|dropitems.drop_sack_m00|icon.etc_scroll_white_i00|-1|0|8|0|2|0|0
797|dropitems.drop_sack_m00|icon.item_normal06|-1|0|8|0|2|0|0
798|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
799|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
800|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
801|dropitems.drop_sack_m00|icon.item_normal06|-1|0|8|0|2|0|0
802|dropitems.drop_sack_m00|icon.weapon_ss09|-1|0|8|0|2|0|0
803|dropitems.drop_sack_m00|icon.weapon_ss03|-1|0|8|0|2|0|0
804|dropitems.drop_sack_m00|icon.weapon_mace24|-1|0|8|0|2|0|0
805|dropitems.drop_sack_m00|icon.item_normal50|-1|0|8|0|2|0|0
806|dropitems.drop_sack_m00|icon.item_normal36|-1|0|8|0|2|0|0
807|dropitems.drop_sack_m00|icon.item_normal24|-1|0|8|0|2|0|0
808|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
809|dropitems.drop_sack_m00|icon.etc_piece_bone_white_i00|-1|0|8|0|2|0|0
810|dropitems.drop_sack_m00|icon.item_normal06|-1|0|8|0|2|0|0
811|dropitems.drop_sack_m00|icon.item_normal37|-1|0|8|0|2|0|0
812|dropitems.drop_sack_m00|icon.item_normal47|-1|0|8|0|2|0|0
813|dropitems.drop_sack_m00|icon.item_normal42|-1|0|8|0|2|0|0
814|dropitems.drop_sack_m00|icon.item_normal50|-1|0|8|0|2|0|0
815|dropitems.drop_sack_m00|icon.item_normal01|-1|0|8|0|2|0|0
816|dropitems.drop_sack_m00|icon.weapon_1hs20|-1|0|8|0|2|0|0
817|dropitems.drop_sack_m00|icon.item_canuse22|-1|0|8|0|2|0|0
818|dropitems.drop_sack_m00|icon.item_normal11|-1|0|8|0|2|0|0
819|dropitems.drop_sack_m00|icon.item_normal05|-1|0|8|0|2|0|0
820|dropitems.drop_sack_m00|icon.item_canuse28|-1|0|8|0|2|0|0
821|dropitems.drop_sack_m00|icon.weapon_ss04|-1|0|8|0|2|0|0
822|dropitems.drop_sack_m00|icon.weapon_ss10|-1|0|8|0|2|0|0
823|dropitems.drop_sack_m00|icon.weapon_ss01|-1|0|8|0|2|0|0
824|dropitems.drop_sack_m00|icon.item_normal50|-1|0|8|0|2|0|0
825|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
826|dropitems.drop_sack_m00|icon.item_canuse40|-1|0|8|0|2|0|0
827|dropitems.drop_sack_m00|icon.item_normal40|-1|0|8|0|2|0|0
828|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
829|dropitems.drop_sack_m00|icon.weapon_ss09|-1|0|8|0|2|0|0
830|dropitems.drop_sack_m00|icon.armor_neck03|-1|0|8|0|2|0|0
831|dropitems.drop_sack_m00|icon.item_canuse09|-1|0|8|0|2|0|0
832|dropitems.drop_sack_m00|icon.item_normal16|-1|0|8|0|2|0|0
833|dropitems.drop_sack_m00|icon.item_normal44|-1|0|8|0|2|0|0
834|dropitems.drop_sack_m00|icon.item_normal19|-1|0|8|0|2|0|0
835|dropitems.drop_sack_m00|icon.item_normal47|-1|0|8|0|2|0|0
836|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
837|dropitems.drop_sack_m00|icon.item_canuse43|-1|0|8|0|2|0|0
838|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
839|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
840|dropitems.drop_sack_m00|icon.armor_head15|-1|0|8|0|2|0|0
841|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
842|dropitems.drop_sack_m00|icon.item_canuse27|-1|0|8|0|2|0|0
843|dropitems.drop_sack_m00|icon.item_normal06|-1|0|8|0|2|0|0
844|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
937|dropitems.drop_sack_m00|icon.etc_piece_of_paper_gray_i00|-1|0|8|0|2|0|0
938|dropitems.drop_jewel_box_m00|icon.etc_spell_books_red_i00|-1|0|4|0|0|0|0
939|dropitems.drop_sack_m00|icon.item_normal52|-1|0|8|0|2|0|0
940|dropitems.drop_sack_m00|icon.item_normal52|-1|0|8|0|2|0|0
941|dropitems.drop_sack_m00|icon.item_normal52|-1|0|8|0|2|0|0
942|dropitems.drop_sack_m00|icon.item_normal52|-1|0|8|0|2|0|0
943|dropitems.drop_sack_m00|icon.item_normal52|-1|0|8|0|2|0|0
944|dropitems.drop_sack_m00|icon.armor_head15|-1|0|8|0|2|0|0
947|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i03|-1|120|18|0|2|19|0
948|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i03|-1|120|18|0|2|20|0
949|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|0|0|0
950|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|0|0|0
951|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i02|-1|120|18|0|2|19|0
952|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i02|-1|120|18|0|2|20|0
953|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|0|0|0
954|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|0|0|0
955|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|2|19|0
956|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|2|20|0
957|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|0|0|0
958|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|0|0|0
959|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i05|-1|120|18|0|2|19|0
960|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i05|-1|120|18|0|2|20|0
961|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_weapon_i01|-1|120|18|0|0|0|0
962|dropitems.drop_scroll_m00|icon.etc_scroll_of_enchant_armor_i01|-1|120|18|0|0|0|0
963|dropitems.drop_sack_m00|icon.weapon_winged_spear_i00|-1|0|8|0|2|0|0
964|dropitems.drop_sack_m00|icon.etc_scroll_white_i00|-1|0|8|0|2|0|0
965|dropitems.drop_sack_m00|icon.accessary_near_forest_necklace_i00|-1|0|8|0|2|0|0
966|dropitems.drop_sack_m00|icon.etc_crystal_ball_green_i00|-1|0|8|0|2|0|0
967|dropitems.drop_sack_m00|icon.item_canuse24|-1|0|8|0|2|0|0
968|dropitems.drop_sack_m00|icon.etc_scroll_gray_i00|-1|0|8|0|2|0|0
969|dropitems.drop_sack_m00|icon.etc_letter_red_i00|-1|0|8|0|2|0|0
970|dropitems.drop_sack_m00|icon.etc_letter_red_i00|-1|0|8|0|2|0|0
971|dropitems.drop_sack_m00|icon.weapon_voodoo_doll_i00|-1|0|8|0|2|0|0
972|dropitems.drop_sack_m00|icon.etc_potion_clear_i00|-1|0|8|0|2|0|0
973|dropitems.drop_sack_m00|icon.etc_skull_black_i00|-1|0|8|0|2|0|0
974|dropitems.drop_sack_m00|icon.etc_skull_red_i00|-1|0|8|0|2|0|0
976|dropitems.drop_sack_m00|icon.item_system03|-1|0|8|0|2|0|0
977|dropitems.drop_sack_m00|icon.item_system03|-1|0|8|0|2|0|0
978|dropitems.drop_sack_m00|icon.item_normal145|-1|0|8|0|2|0|0
979|dropitems.drop_sack_m00|icon.item_normal89|-1|0|8|0|2|0|0
980|dropitems.drop_sack_m00|icon.weapon_mace23|-1|0|8|0|2|0|0
982|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
983|dropitems.drop_sack_m00|icon.item_normal20|-1|0|8|0|2|0|0
984|dropitems.drop_sack_m00|icon.accessary_sages_necklace_i00|-1|0|8|0|2|0|0
985|dropitems.drop_sack_m00|icon.accessary_sages_necklace_i00|-1|0|8|0|2|0|0
986|dropitems.drop_sack_m00|icon.etc_scroll_gray_i00|-1|0|8|0|2|0|0
987|dropitems.drop_sack_m00|icon.etc_plate_glay_i00|-1|0|8|0|2|0|0
988|dropitems.drop_sack_m00|icon.etc_piece_of_paper_gray_i00|-1|0|8|0|2|0|0
1001|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1002|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1003|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1004|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1005|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1006|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1007|dropitems.drop_sack_m00|icon.item_normal07|-1|0|8|0|2|0|0
1008|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1009|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1010|dropitems.drop_sack_m00|icon.etc_lump_black_i00|-1|0|8|0|2|0|0
1011|dropitems.drop_sack_m00|icon.etc_jewel_box_i00|-1|0|8|0|2|0|0
1012|dropitems.drop_sack_m00|icon.etc_piece_of_paper_white_i00|-1|0|8|0|2|0|0
1013|dropitems.drop_sack_m00|icon.etc_jewel_box_i00|-1|0|8|0|2|0|0
1014|dropitems.drop_sack_m00|icon.etc_piece_of_cloth_blue_i00|-1|0|8|0|2|0|0
1015|dropitems.drop_sack_m00|icon.etc_oil_pot_white_i00|-1|0|8|0|2|0|0
1016|dropitems.drop_sack_m00|icon.etc_letter_red_i00|-1|0|8|0|2|0|0
1017|dropitems.drop_sack_m00|icon.etc_letter_blue_i00|-1|0|8|0|2|0|0
1018|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1019|dropitems.drop_sack_m00|icon.etc_letter_red_i00|-1|0|8|0|2|0|0
1020|dropitems.drop_sack_m00|icon.etc_crystal_red_i00|-1|0|8|0|2|0|0
1021|dropitems.drop_sack_m00|icon.etc_crystal_blue_i00|-1|0|8|0|2|0|0
1022|dropitems.drop_sack_m00|icon.etc_piece_of_paper_white_i00|-1|0|8|0|2|0|0
1023|dropitems.drop_sack_m00|icon.etc_spell_books_blue_i00|-1|0|8|0|2|0|0
1024|dropitems.drop_sack_m00|icon.etc_plate_blue_i00|-1|0|8|0|2|0|0
1025|dropitems.drop_sack_m00|icon.etc_plate_glay_i00|-1|0|8|0|2|0|0
1026|dropitems.drop_sack_m00|icon.etc_skein_white_i00|-1|0|8|0|2|0|0
1027|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1028|dropitems.drop_sack_m00|icon.etc_ticket_blue_i00|-1|0|8|0|2|0|0
1029|dropitems.drop_sack_m00|icon.etc_herb_blue_i00|-1|0|8|0|2|0|0
1030|dropitems.drop_sack_m00|icon.etc_skull_black_i00|-1|0|8|0|2|0|0
1031|dropitems.drop_sack_m00|icon.etc_skull_white_i00|-1|0|8|0|2|0|0
1032|dropitems.drop_sack_m00|icon.etc_mane_i00|-1|0|8|0|2|0|0
1033|dropitems.drop_sack_m00|icon.etc_skein_gray_i00|-1|0|8|0|2|0|0
1034|dropitems.drop_sack_m00|icon.etc_totem_red_i00|-1|0|8|0|2|0|0
1035|dropitems.drop_sack_m00|icon.etc_powder_red_i00|-1|0|8|0|2|0|0
1036|dropitems.drop_sack_m00|icon.etc_scroll_gray_i00|-1|0|8|0|2|0|0
1037|dropitems.drop_sack_m00|icon.etc_fruit_green_i00|-1|0|8|0|2|0|0
1038|dropitems.drop_sack_m00|icon.etc_piece_of_paper_black_i00|-1|0|8|0|2|0|0
1039|dropitems.drop_sack_m00|icon.etc_piece_of_paper_black_i00|-1|0|8|0|2|0|0
1040|dropitems.drop_sack_m00|icon.etc_piece_of_paper_black_i00|-1|0|8|0|2|0|0
1041|dropitems.drop_sack_m00|icon.etc_piece_of_paper_black_i00|-1|0|8|0|2|0|0
1042|dropitems.drop_sack_m00|icon.etc_claw_i00|-1|0|8|0|2|0|0
1043|dropitems.drop_sack_m00|icon.etc_horn_i00|-1|0|8|0|2|0|0
1044|dropitems.drop_sack_m00|icon.etc_skull_red_i00|-1|0|8|0|2|0|0
1045|dropitems.drop_sack_m00|icon.etc_bark_gold_i00|-1|0|8|0|2|0|0
1046|dropitems.drop_sack_m00|icon.etc_totem_black_i00|-1|0|8|0|2|0|0
1047|dropitems.drop_spell_book_m00|icon.etc_spell_books_blue_i00|-1|120|18|0|0|0|0
1048|dropitems.drop_spell_book_m00|icon.etc_spell_books_assistance_i00|-1|120|18|0|2|0|0
1049|dropitems.drop_spell_book_m00|icon.etc_spell_books_element_i00|-1|120|18|0|2|0|0
1050|dropitems.drop_spell_book_m00|icon.etc_spell_books_white_i00|-1|120|18|0|2|0|0
1051|dropitems.drop_spell_book_m00|icon.etc_spell_books_black_i00|-1|120|18|0|2|0|0
1052|dropitems.drop_spell_book_m00|icon.etc_spell_books_element_i00|-1|120|18|0|2|0|0
1053|dropitems.drop_spell_book_m00|icon.etc_spell_books_white_i00|-1|120|18|0|2|0|0
1054|dropitems.drop_spell_book_m00|icon.etc_spell_books_white_i00|-1|120|18|0|2|0|0
1055|dropitems.drop_spell_book_m00|icon.etc_spell_books_black_i00|-1|120|18|0|2|0|0
1056|dropitems.drop_spell_book_m00|icon.etc_spell_books_black_i00|-1|120|18|0|2|0|0
1057|dropitems.drop_spell_book_m00|icon.etc_spell_books_assistance_i00|-1|120|18|0|0|0|0
1058|dropitems.drop_spell_book_m00|icon.etc_spell_books_assistance_i00|-1|120|18|0|2|0|0
1059|dropitems.drop_spell_book_m00|icon.etc_spell_books_blue_i00|-1|120|18|0|0|0|0
1060|dropitems.drop_lesser_potion_m00|icon.etc_lesser_potion_red_i00|-1|5|53|0|2|3|0
1061|dropitems.drop_lesser_potion_m00|icon.etc_potion_scarlet_i00|-1|5|53|0|2|3|0
1062|dropitems.drop_test_tube_m00|icon.etc_reagent_green_i00|-1|180|53|0|2|3|0
1063|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
1064|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
1065|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
1066|dropitems.drop_sack_m00|icon.item_canuse15|-1|0|8|0|2|0|0
1067|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1068|dropitems.drop_sack_m00|icon.etc_letter_white_i00|-1|0|8|0|2|0|0
1069|dropitems.drop_sack_m00|icon.etc_leaf_green_i00|-1|0|8|0|2|0|0
1070|dropitems.drop_sack_m00|icon.etc_spirit_bullet_red_i00|-1|0|8|0|2|0|0
1071|dropitems.drop_sack_m00|icon.etc_jewel_green_i00|-1|0|8|0|2|0|0
1072|dropitems.drop_sack_m00|icon.etc_jewel_green_i00|-1|0|8|0|2|0|0
1073|dropitems.drop_lesser_potion_m00|icon.etc_potion_red_i00|-1|5|53|0|2|3|0
1074|dropitems.drop_ticket_m00|icon.etc_ticket_red_i00|-1|20|18|0|2|0|0
1075|dropitems.drop_ticket_m00|icon.etc_ticket_blue_i00|-1|20|18|0|2|0|0
1076|dropitems.drop_sack_m00|icon.etc_scroll_white_i00|-1|0|8|0|2|0|0
1077|dropitems.drop_sack_m00|icon.etc_pouch_brown_i00|-1|0|8|0|2|0|0
1078|dropitems.drop_sack_m00|icon.etc_crystal_white_i00|-1|0|8|0|2|0|0
1079|dropitems.drop_sack_m00|icon.etc_piece_of_paper_white_i00|-1|0|8|0|2|0|0
1080|dropitems.drop_sack_m00|icon.etc_lesser_potion_blue_i00|-1|0|8|0|2|0|0
1081|dropitems.drop_sack_m00|icon.etc_eyeball_i00|-1|0|8|0|2|0|0
1082|dropitems.drop_sack_m00|icon.etc_totem_black_i00|-1|0|8|0|2|0|0
1083|dropitems.drop_sack_m00|icon.etc_lesser_potion_red_i00|-1|0|8|0|2|0|0
1084|dropitems.drop_sack_m00|icon.etc_jewel_gold_i00|-1|0|8|0|2|0|0
1085|dropitems.drop_sack_m00|icon.accessary_necklace_of_anguish_i00|-1|0|8|0|2|0|0
1086|dropitems.drop_sack_m00|icon.etc_claw_i00|-1|0|8|0|2|0|0
1087|dropitems.drop_sack_m00|icon.etc_horn_i00|-1|0|8|0|2|0|0
1088|dropitems.drop_sack_m00|icon.etc_scroll_gray_i00|-1|0|8|0|2|0|0
1089|dropitems.drop_sack_m00|icon.weapon_mystic_knife_i00|-1|0|8|0|2|0|0
1090|dropitems.drop_sack_m00|icon.etc_lesser_potion_purple_i00|-1|0|8|0|2|0|0
1091|dropitems.drop_sack_m00|icon.etc_spell_books_red_i00|-1|0|8|0|2|0|0
