id|message|group|rgba[0]|rgba[1]|rgba[2]|sub_msg|type
57|a,You have failed to pick up $s2 $s1(s).\0|0|79|9B|B0|a,|a,none\0
58|a,You have failed to earn $s1 Adena.\0|0|79|9B|B0|a,|a,none\0
59|a,You have failed to earn $s1.\0|0|79|9B|B0|a,|a,none\0
60|a,You have failed to earn $s2 $s1(s).\0|0|79|9B|B0|a,|a,none\0
61|a,Nothing happened.\0|0|79|9B|B0|a,|a,none\0
62|a,Your $s1 has been successfully enchanted.\0|0|0|FF|FF|a,|a,none\0
63|a,Your +$s1 $s2 has been successfully enchanted.\0|0|0|FF|FF|a,|a,none\0
64|a,The enchantment has failed!  Your $s1 has been crystallized.\0|0|79|9B|B0|a,|a,none\0
65|a,The enchantment has failed!  Your +$s1 $s2 has been crystallized.\0|0|79|9B|B0|a,|a,none\0
66|a,$c1 is inviting you to join a party. Do you accept?\0|4|79|9B|B0|a,|a,popup\0
67|a,$s1 has invited you to join their clan, $s2. Do you wish to join?\0|4|79|9B|B0|a,|a,popup\0
68|a,Would you like to withdraw from clan $s1? If you leave, you will have to wait at least a day before joining another clan.\0|4|79|9B|B0|a,|a,popup\0
69|a,Would you like to dismiss $s1 from the clan? If you do so, you will have to wait at least a day before accepting a new member.\0|4|79|9B|B0|a,|a,popup\0
70|a,Do you wish to disperse the clan, $s1?\0|4|79|9B|B0|a,|a,popup\0
71|a,How much $s1(s) do you wish to discard?\0|4|79|9B|B0|a,|a,popup\0
72|a,How much $s1(s) do you wish to move?\0|4|79|9B|B0|a,|a,popup\0
73|a,How much $s1(s) do you wish to destroy?\0|4|79|9B|B0|a,|a,popup\0
74|a,Do you wish to destroy your $s1?\0|4|79|9B|B0|a,|a,popup\0
75|a,ID does not exist.\0|0|79|9B|B0|a,|a,none\0
76|a,Incorrect password.\0|0|79|9B|B0|a,|a,none\0
77|a,You cannot create another character. Please delete an existing character and try again.\0|0|79|9B|B0|a,|a,none\0
78|a,When you delete a character, any items in his/her possession will also be deleted. Do you really wish to delete $s1?\0|4|79|9B|B0|a,|a,popup\0
79|a,This name already exists.\0|0|79|9B|B0|a,|a,none\0
80|a,Your title cannot exceed 16 characters in length.  Please try again.\0|0|79|9B|B0|a,|a,none\0
81|a,Please select your race.\0|0|79|9B|B0|a,|a,none\0
82|a,Please select your occupation.\0|0|79|9B|B0|a,|a,none\0
83|a,Please select your gender.\0|0|79|9B|B0|a,|a,none\0
84|a,You may not attack in a peaceful zone.\0|0|79|9B|B0|a,|a,none\0
85|a,You may not attack this target in a peaceful zone.\0|0|79|9B|B0|a,|a,none\0
86|a,Please enter your ID.\0|0|79|9B|B0|a,|a,none\0
87|a,Please enter your password.\0|0|79|9B|B0|a,|a,none\0
88|a,Your protocol version is different, please restart your client and run a full check.\0|0|79|9B|B0|a,|a,none\0
89|a,Your protocol version is different, please continue.\0|0|79|9B|B0|a,|a,none\0
90|a,You are unable to connect to the server.\0|0|79|9B|B0|a,|a,none\0
91|a,Please select your hairstyle.\0|0|79|9B|B0|a,|a,none\0
92|a,$s1 has worn off.\0|0|79|9B|B0|a,|a,none\0
93|a,You do not have enough SP for this.\0|0|79|9B|B0|a,|a,none\0
94|a,Copyright © NCSOFT Corporation. All Rights Reserved.\0|0|79|9B|B0|a,|a,none\0
95|a,You have earned $s1 XP and $s2 SP.\0|0|79|9B|B0|a,|a,none\0
96|a,Your level has increased!\0|0|79|9B|B0|a,|a,none\0
97|a,This item cannot be moved.\0|0|79|9B|B0|a,|a,none\0
98|a,This item cannot be destroyed.\0|0|79|9B|B0|a,|a,none\0
99|a,This item cannot be traded or sold.\0|0|79|9B|B0|a,|a,none\0
100|a,$c1 is requesting a trade. Do you wish to continue?\0|4|79|9B|B0|a,|a,popup\0
101|a,You cannot exit the game while in combat.\0|0|79|9B|B0|a,|a,none\0
102|a,You cannot restart while in combat.\0|0|79|9B|B0|a,|a,none\0
103|a,This ID is currently logged in.\0|0|79|9B|B0|a,|a,none\0
104|a,You cannot change weapons during an attack.\0|0|79|9B|B0|a,|a,none\0
105|a,$c1 has been invited to the party.\0|0|79|9B|B0|a,|a,none\0
106|a,You have joined $s1's party.\0|0|79|9B|B0|a,|a,none\0
107|a,$c1 has joined the party.\0|0|79|9B|B0|a,|a,none\0
108|a,$c1 has left the party.\0|0|79|9B|B0|a,|a,none\0
109|a,Invalid target.\0|0|79|9B|B0|a,|a,none\0
110|a,$s1's effect can be felt.\0|0|79|9B|B0|a,|a,none\0
111|a,Your shield defense has succeeded.\0|1|79|9B|B0|a,|a,battle\0
112|a,You have run out of arrows.\0|0|79|9B|B0|a,|a,none\0
113|a,$s1 cannot be used due to unsuitable terms.\0|0|79|9B|B0|a,|a,none\0
114|a,You have entered the shadow of the Mother Tree.\0|0|79|9B|B0|a,|a,none\0
115|a,You have left the shadow of the Mother Tree.\0|0|79|9B|B0|a,|a,none\0
116|a,You have entered a peace zone.\0|0|79|9B|B0|a,|a,none\0
117|a,You have left the peace zone.\0|0|79|9B|B0|a,|a,none\0
118|a,You have requested a trade with $c1.\0|0|79|9B|B0|a,|a,none\0
119|a,$c1 has denied your request to trade.\0|0|79|9B|B0|a,|a,none\0
120|a,You begin trading with $c1.\0|0|79|9B|B0|a,|a,none\0
121|a,$c1 has confirmed the trade.\0|0|79|9B|B0|a,|a,none\0
122|a,You may no longer adjust items in the trade because the trade has been confirmed.\0|0|79|9B|B0|a,|a,none\0
123|a,Your trade was successful.\0|0|79|9B|B0|a,|a,none\0
124|a,$c1 has cancelled the trade.\0|0|79|9B|B0|a,|a,none\0
125|a,Do you wish to exit the game?\0|4|79|9B|B0|a,|a,popup\0
126|a,Do you wish to exit to the character select screen?\0|4|79|9B|B0|a,|a,popup\0
127|a,You have been disconnected from the server. Please login again.\0|4|79|9B|B0|a,|a,popup\0
128|a,Your character creation has failed.\0|0|79|9B|B0|a,|a,none\0
129|a,Your inventory is full.\0|0|79|9B|B0|a,|a,none\0
130|a,Your warehouse is full.\0|4|79|9B|B0|a,|a,popup\0
131|a,$s1 has logged in.\0|0|79|9B|B0|a,|a,none\0
132|a,$s1 has been added to your friends list.\0|0|79|9B|B0|a,|a,none\0
133|a,$s1 has been removed from your friends list.\0|0|79|9B|B0|a,|a,none\0
134|a,Please check your friends list again.\0|0|79|9B|B0|a,|a,none\0
135|a,$c1 did not reply to your invitation. Your invitation has been cancelled.\0|0|79|9B|B0|a,|a,none\0
136|a,You have not replied to $c1's invitation. The offer has been cancelled.\0|0|79|9B|B0|a,|a,none\0
137|a,There are no more items in the shortcut.\0|0|79|9B|B0|a,|a,none\0
138|a,Designate shortcut.\0|0|79|9B|B0|a,|a,none\0
139|a,$c1 has resisted your $s2.\0|0|79|9B|B0|a,|a,none\0
140|a,Your skill was deactivated due to lack of MP.\0|0|79|9B|B0|a,|a,none\0
141|a,Once a trade is confirmed, the items involved cannot be moved again. If you wish to make a change, cancel the trade and start again.\0|0|79|9B|B0|a,|a,none\0
142|a,You are already trading with someone.\0|0|79|9B|B0|a,|a,none\0
143|a,$c1 is already trading with another person. Please try again later.\0|0|79|9B|B0|a,|a,none\0
144|a,That is an incorrect target.\0|0|79|9B|B0|a,|a,none\0
145|a,That player is not online.\0|0|79|9B|B0|a,|a,none\0
146|a,Chatting is now permitted.\0|4|79|9B|B0|a,|a,popup\0
147|a,Chatting is currently prohibited.\0|4|79|9B|B0|a,|a,popup\0
148|a,You cannot use quest items.\0|0|79|9B|B0|a,|a,none\0
149|a,You cannot pick up or use items while trading.\0|0|79|9B|B0|a,|a,none\0
150|a,You cannot discard or destroy an item while trading at a private store.\0|0|79|9B|B0|a,|a,none\0
151|a,You cannot discard something that far away from you.\0|0|79|9B|B0|a,|a,none\0
152|a,You have invited the wrong target.\0|0|79|9B|B0|a,|a,none\0
153|a,$c1 is on another task. Please try again later.\0|0|79|9B|B0|a,|a,none\0
154|a,Only the leader can give out invitations.\0|0|79|9B|B0|a,|a,none\0
155|a,The party is full.\0|0|79|9B|B0|a,|a,none\0
156|a,Drain was only 50 percent successful.\0|0|79|9B|B0|a,|a,none\0
157|a,You resisted $c1's drain.\0|0|79|9B|B0|a,|a,none\0
158|a,Your attack has failed.\0|0|79|9B|B0|a,|a,none\0
159|a,You resisted $c1's magic.\0|0|79|9B|B0|a,|a,none\0
160|a,$c1 is a member of another party and cannot be invited.\0|0|79|9B|B0|a,|a,none\0
161|a,That player is not currently online.\0|0|79|9B|B0|a,|a,none\0
162|a,You have moved too far away from the warehouse to perform that action.\0|0|79|9B|B0|a,|a,none\0
163|a,You cannot destroy it because the number is incorrect.\0|0|79|9B|B0|a,|a,none\0
164|a,Waiting for another reply.\0|0|79|9B|B0|a,|a,none\0
165|a,You cannot add yourself to your own friend list.\0|0|79|9B|B0|a,|a,none\0
166|a,Friend list is not ready yet. Please register again later.\0|0|79|9B|B0|a,|a,none\0
167|a,$c1 is already on your friend list.\0|0|79|9B|B0|a,|a,none\0
168|a,$c1 has sent a friend request.\0|0|79|9B|B0|a,|a,none\0
169|a,Accept friendship 0/1 (1 to accept, 0 to deny)\0|0|79|9B|B0|a,|a,none\0
170|a,The user who requested to become friends is not found in the game.\0|0|79|9B|B0|a,|a,none\0
171|a,$c1 is not on your friend list.\0|0|79|9B|B0|a,|a,none\0
172|a,You lack the funds needed to pay for this transaction.\0|4|79|9B|B0|a,|a,popup\0
173|a,You lack the funds needed to pay for this transaction.\0|4|79|9B|B0|a,|a,popup\0
174|a,That person's inventory is full.\0|4|79|9B|B0|a,|a,popup\0
175|a,That skill has been de-activated as HP was fully recovered.\0|0|79|9B|B0|a,|a,none\0
176|a,That person is in message refusal mode.\0|0|79|9B|B0|a,|a,none\0
177|a,Message refusal mode.\0|0|79|9B|B0|a,|a,none\0
178|a,Message acceptance mode.\0|0|79|9B|B0|a,|a,none\0
179|a,You cannot discard those items here.\0|0|79|9B|B0|a,|a,none\0
180|a,You have $s1 day(s) left until deletion.  Do you wish to cancel this action?\0|4|79|9B|B0|a,|a,popup\0
181|a,Cannot see target.\0|0|79|9B|B0|a,|a,none\0
182|a,Do you wish to stop the currently selected "$s1" quest?\0|0|79|9B|B0|a,|a,none\0
183|a,There are too many users on the server. Please try again later.\0|2|79|9B|B0|a,|a,server\0
184|a,Please try again later.\0|0|79|9B|B0|a,|a,none\0
185|a,You must first select a user to invite to your party.\0|0|79|9B|B0|a,|a,none\0
186|a,You must first select a user to invite to your clan.\0|0|79|9B|B0|a,|a,none\0
187|a,Select user to expel.\0|0|79|9B|B0|a,|a,none\0
188|a,Please create your clan name.\0|4|79|9B|B0|a,|a,popup\0
189|a,Your clan has been created.\0|0|79|9B|B0|a,|a,none\0
190|a,You have failed to create a clan.\0|0|79|9B|B0|a,|a,none\0
191|a,Clan member $s1 has been expelled.\0|0|79|9B|B0|a,|a,none\0
192|a,You have failed to expel $s1 from the clan.\0|0|79|9B|B0|a,|a,none\0
193|a,Clan has dispersed.\0|0|79|9B|B0|a,|a,none\0
194|a,You have failed to disperse the clan.\0|0|79|9B|B0|a,|a,none\0
195|a,Entered the clan.\0|0|79|9B|B0|a,|a,none\0
196|a,$s1 declined your clan invitation.\0|0|79|9B|B0|a,|a,none\0
197|a,You have withdrawn from the clan.\0|0|79|9B|B0|a,|a,none\0
198|a,You have failed to withdraw from the $s1 clan.\0|0|79|9B|B0|a,|a,none\0
199|a,You have recently been dismissed from a clan.  You are not allowed to join another clan for 24 hours.\0|0|79|9B|B0|a,|a,none\0
200|a,You have withdrawn from the party.\0|0|79|9B|B0|a,|a,none\0
201|a,$c1 was expelled from the party.\0|0|79|9B|B0|a,|a,none\0
202|a,You have been expelled from the party.\0|0|79|9B|B0|a,|a,none\0
203|a,The party has dispersed.\0|0|79|9B|B0|a,|a,none\0
204|a,Incorrect name. Please try again.\0|0|79|9B|B0|a,|a,none\0
205|a,Incorrect character name.  Please try again.\0|0|79|9B|B0|a,|a,none\0
206|a,Please enter the name of the clan you wish to declare war on.\0|4|79|9B|B0|a,|a,popup\0
207|a,$s2 of the clan $s1 requests a declaration of war. Do you accept?\0|4|79|9B|B0|a,|a,popup\0
208|a,Please include file type when entering file path.\0|4|79|9B|B0|a,|a,popup\0
209|a,The size of the image file is inappropriate.  Please adjust to 16x12 pixels.\0|0|79|9B|B0|a,|a,none\0
210|a,Cannot find file. Please enter precise path.\0|0|79|9B|B0|a,|a,none\0
211|a,You can only register a 16x12 pixel 256 color BMP files.\0|0|79|9B|B0|a,|a,none\0
212|a,You are not a clan member and cannot perform this action.\0|0|79|9B|B0|a,|a,none\0
213|a,Not working. Please try again later.\0|0|79|9B|B0|a,|a,none\0
214|a,Your title has been changed.\0|0|79|9B|B0|a,|a,none\0
215|a,A clan war with Clan $s1 has started. The clan that cancels the war first will lose 5,000 Clan Reputation. Any clan that cancels the war will be unable to declare a war for 1 week. If your clan member gets killed by the other clan, XP decreases by 1/4 of the amount that decreases in the hunting ground.\0|0|79|9B|B0|a,Clan War has begun!\0|a,none\0
216|a,War with the $s1 clan has ended.\0|0|79|9B|B0|a,Clan War has ended!\0|a,none\0
217|a,You have won the war over the $s1 clan!\0|0|79|9B|B0|a,You won the Clan War!\0|a,none\0
218|a,You have surrendered to the $s1 clan.\0|0|79|9B|B0|a,You lost the Clan War!\0|a,none\0
219|a,Your clan leader has died. You have been defeated by the $s1 Clan.\0|0|79|9B|B0|a,You lost the Clan War!\0|a,none\0
220|a,You have $s1 minute(s) left until the clan war ends.\0|0|79|9B|B0|a,The clan war will end in $s1 minute(s).\0|a,none\0
221|a,The time limit for the clan war is up. War with the $s1 clan is over.\0|0|79|9B|B0|a,Clan War has ended!\0|a,none\0
222|a,$s1 has joined the clan.\0|0|79|9B|B0|a,|a,none\0
223|a,$s1 has withdrawn from the clan.\0|0|79|9B|B0|a,|a,none\0
224|a,$s1 did not respond: Invitation to the clan has been cancelled.\0|0|79|9B|B0|a,|a,none\0
225|a,You didn't respond to $s1's invitation: joining has been cancelled.\0|0|79|9B|B0|a,|a,none\0
226|a,The $s1 clan did not respond: war proclamation has been refused.\0|0|79|9B|B0|a,|a,none\0
227|a,Clan war has been refused because you did not respond to $s1 clan's war proclamation.\0|0|79|9B|B0|a,|a,none\0
228|a,Request to end war has been denied.\0|0|79|9B|B0|a,|a,none\0
229|a,You do not meet the criteria in order to create a clan.\0|0|79|9B|B0|a,|a,none\0
230|a,You must wait 10 days before creating a new clan.\0|0|79|9B|B0|a,|a,none\0
231|a,After a clan member is dismissed from a clan, the clan must wait at least a day before accepting a new member.\0|0|79|9B|B0|a,|a,none\0
232|a,After leaving or having been dismissed from a clan, you must wait at least a day before joining another clan.\0|0|79|9B|B0|a,|a,none\0
233|a,The Academy/Royal Guard/Order of Knights is full and cannot accept new members at this time.\0|0|79|9B|B0|a,|a,none\0
234|a,The target must be a clan member.\0|0|79|9B|B0|a,|a,none\0
235|a,You are not authorized to bestow these rights.\0|0|79|9B|B0|a,|a,none\0
236|a,Only the clan leader is enabled.\0|0|79|9B|B0|a,|a,none\0
237|a,The clan leader could not be found.\0|0|79|9B|B0|a,|a,none\0
238|a,Not joined in any clan.\0|0|79|9B|B0|a,|a,none\0
239|a,A clan leader cannot withdraw from their own clan.\0|0|79|9B|B0|a,|a,none\0
240|a,You are currently involved in clan war.\0|0|79|9B|B0|a,|a,none\0
241|a,Leader of the $s1 Clan is not logged in.\0|0|79|9B|B0|a,|a,none\0
242|a,Select target.\0|0|79|9B|B0|a,|a,none\0
243|a,You cannot declare war on an allied clan.\0|0|79|9B|B0|a,|a,none\0
244|a,You are not allowed to issue this challenge.\0|0|79|9B|B0|a,|a,none\0
245|a,It has not been 5 days since you refused a clan war. Do you wish to continue?\0|4|79|9B|B0|a,|a,popup\0
246|a,That clan is currently at war.\0|0|79|9B|B0|a,|a,none\0
247|a,You have already been at war with the $s1 clan: 5 days must pass before you can challenge this clan again.\0|0|79|9B|B0|a,|a,none\0
248|a,You cannot proclaim war: the $s1 clan does not have enough members.\0|0|79|9B|B0|a,|a,none\0
249|a,Do you wish to surrender to clan $s1?\0|4|79|9B|B0|a,|a,popup\0
250|a,You have personally surrendered to the $s1 clan.  You are no longer participating in this clan war.\0|0|79|9B|B0|a,|a,none\0
251|a,You cannot proclaim war: you are at war with another clan.\0|0|79|9B|B0|a,|a,none\0
252|a,Enter the name of the clan you wish to surrender to.\0|4|79|9B|B0|a,|a,popup\0
253|a,Enter the name of the clan you wish to end the war with.\0|4|79|9B|B0|a,|a,popup\0
254|a,A clan leader cannot personally surrender.\0|0|79|9B|B0|a,|a,none\0
255|a,The $s1 Clan has requested to end war. Do you agree?\0|4|79|9B|B0|a,|a,popup\0
256|a,Enter Title\0|0|79|9B|B0|a,|a,none\0
257|a,Do you offer the $s1 clan a proposal to end the war?\0|4|79|9B|B0|a,|a,popup\0
258|a,You are not involved in a clan war.\0|0|79|9B|B0|a,|a,none\0
259|a,Select clan members from list.\0|0|79|9B|B0|a,|a,none\0
260|a,Your clan lost 5,000 Reputation points for withdrawing from the Clan War.\0|0|79|9B|B0|a,|a,none\0
261|a,Clan name is invalid.\0|0|79|9B|B0|a,|a,none\0
262|a,Clan name's length is incorrect.\0|0|79|9B|B0|a,|a,none\0
263|a,You have already requested the dissolution of your clan.\0|0|79|9B|B0|a,|a,none\0
264|a,You cannot dissolve a clan while engaged in a war.\0|0|79|9B|B0|a,|a,none\0
265|a,You cannot dissolve a clan during a siege or while protecting a castle.\0|0|79|9B|B0|a,|a,none\0
266|a,You cannot dissolve a clan while owning a clan hall or castle.\0|0|79|9B|B0|a,|a,none\0
267|a,There are no requests to disperse.\0|0|79|9B|B0|a,|a,none\0
268|a,That player already belongs to another clan.\0|0|79|9B|B0|a,|a,none\0
269|a,You cannot dismiss yourself.\0|0|79|9B|B0|a,|a,none\0
270|a,You have already surrendered.\0|0|79|9B|B0|a,|a,none\0
271|a,A player can only be granted a title if the clan is level 3 or above.\0|0|79|9B|B0|a,|a,none\0
272|a,A clan crest can only be registered when the clan's skill level is 3 or above.\0|0|79|9B|B0|a,|a,none\0
273|a,A clan war can only be declared when a clan's level is 3 or above.\0|0|79|9B|B0|a,|a,none\0
274|a,Your clan's level has increased.\0|0|79|9B|B0|a,|a,none\0
275|a,The clan has failed to increase its level.\0|0|79|9B|B0|a,|a,none\0
276|a,You do not have the necessary materials or prerequisites to learn this skill.\0|4|79|9B|B0|a,|a,popup\0
277|a,You have earned $s1.\0|0|79|9B|B0|a,|a,none\0
278|a,You do not have enough SP to learn this skill.\0|4|79|9B|B0|a,|a,popup\0
279|a,You do not have enough Adena.\0|4|79|9B|B0|a,|a,popup\0
280|a,You do not have any items to sell.\0|4|79|9B|B0|a,|a,popup\0
281|a,You do not have enough Adena to pay the fee.\0|4|79|9B|B0|a,|a,popup\0
282|a,You have not deposited any items in your warehouse.\0|4|79|9B|B0|a,|a,popup\0
283|a,You have entered a combat zone.\0|0|79|9B|B0|a,|a,siege\0
284|a,You have left a combat zone.\0|0|79|9B|B0|a,|a,siege\0
285|a,Clan $s1 has succeeded in $s2!\0|0|79|9B|B0|a,|a,siege\0
286|a,Your base is being attacked.\0|0|79|9B|B0|a,|a,siege\0
287|a,The opposing clan has started $s1.\0|0|79|9B|B0|a,|a,siege\0
288|a,The castle gate has been destroyed.\0|0|79|9B|B0|a,Castle gate is destroyed!\0|a,siege\0
289|a,An outpost or headquarters cannot be built because one already exists.\0|0|79|9B|B0|a,|a,siege\0
290|a,You cannot set up a base here.\0|0|79|9B|B0|a,|a,siege\0
291|a,Clan $s1 is victorious over $s2's castle siege!\0|0|79|9B|B0|a,|a,siege\0
292|a,$s1 has announced the next castle siege time.\0|0|79|9B|B0|a,|a,siege\0
293|a,The registration term for $s1 has ended.\0|0|79|9B|B0|a,|a,siege\0
294|a,You cannot summon the encampment because you are not a member of the siege clan involved in the castle / fortress / clan hall siege.\0|0|79|9B|B0|a,|a,siege\0
295|a,$s1's siege was canceled because there were no clans that participated.\0|0|79|9B|B0|a,|a,siege\0
296|a,You received $s1 falling damage.\0|3|79|9B|B0|a,|a,damage\0
297|a,You have taken $s1 damage because you were unable to breathe.\0|3|79|9B|B0|a,|a,damage\0
298|a,You have dropped $s1.\0|0|79|9B|B0|a,|a,none\0
299|a,$c1 has obtained $s3 $s2.\0|0|0|FF|FF|a,|a,none\0
300|a,$c1 has obtained $s2.\0|0|0|FF|FF|a,|a,none\0
301|a,$s2 $s1(s) disappeared.\0|0|79|9B|B0|a,|a,none\0
302|a,$s1 disappeared.\0|0|79|9B|B0|a,|a,none\0
303|a,Select item to enchant.\0|0|79|9B|B0|a,|a,none\0
304|a,Clan member $s1 has logged into game.\0|0|79|9B|B0|a,|a,none\0
305|a,The player declined to join your party.\0|0|79|9B|B0|a,|a,none\0
306|a,You have failed to delete the character.\0|5|79|9B|B0|a,|a,error\0
307|a,You cannot trade with a warehouse keeper.\0|5|79|9B|B0|a,|a,error\0
308|a,The player declined your clan invitation.\0|5|79|9B|B0|a,|a,error\0
309|a,You have succeeded in expelling the clan member.\0|0|79|9B|B0|a,|a,none\0
310|a,You have failed to expel the clan member.\0|5|79|9B|B0|a,|a,error\0
311|a,The clan war declaration has been accepted.\0|0|79|9B|B0|a,|a,none\0
312|a,The clan war declaration has been refused.\0|0|79|9B|B0|a,|a,none\0
313|a,The cease war request has been accepted.\0|0|79|9B|B0|a,|a,none\0
314|a,You have failed to surrender.\0|5|79|9B|B0|a,|a,error\0
315|a,You have failed to personally surrender.\0|5|79|9B|B0|a,|a,error\0
316|a,You have failed to withdraw from the party.\0|5|79|9B|B0|a,|a,error\0
317|a,You have failed to expel the party member.\0|5|79|9B|B0|a,|a,error\0
318|a,You have failed to disperse the party.\0|5|79|9B|B0|a,|a,error\0
319|a,This door cannot be unlocked.\0|0|79|9B|B0|a,|a,none\0
320|a,You have failed to unlock the door.\0|0|79|9B|B0|a,|a,none\0
321|a,It is not locked.\0|0|79|9B|B0|a,|a,none\0
322|a,Please decide on the sales price.\0|4|79|9B|B0|a,|a,popup\0
323|a,Your force has increased to level $s1.\0|0|79|9B|B0|a,|a,none\0
324|a,Your force has reached maximum capacity.\0|0|79|9B|B0|a,|a,none\0
325|a,The corpse has already disappeared.\0|0|79|9B|B0|a,|a,none\0
326|a,Select target from list.\0|4|79|9B|B0|a,|a,popup\0
327|a,You cannot exceed 80 characters.\0|4|79|9B|B0|a,|a,popup\0
328|a,Please input title using less than 128 characters.\0|4|79|9B|B0|a,|a,popup\0
329|a,Please input contents using less than 3000 characters.\0|4|79|9B|B0|a,|a,popup\0
330|a,A one-line response may not exceed 128 characters.\0|4|79|9B|B0|a,|a,popup\0
331|a,You have acquired $s1 SP.\0|0|79|9B|B0|a,|a,none\0
332|a,Do you want to be restored?\0|0|79|9B|B0|a,|a,none\0
333|a,You have received $s1 damage by Core's barrier.\0|3|79|9B|B0|a,|a,damage\0
334|a,Please enter your private store display message.\0|0|79|9B|B0|a,|a,none\0
335|a,$s1 has been aborted.\0|0|79|9B|B0|a,|a,none\0
336|a,You are attempting to crystallize $s1. Do you wish to continue?\0|4|79|9B|B0|a,|a,popup\0
337|a,The soulshot you are attempting to use does not match the grade of your equipped weapon.\0|0|79|9B|B0|a,|a,none\0
