nbr|x_world_grid|y_world_grid|top_z|bottom_z|zone_name
32|21|25|-4874.00000000|-6874.00000000|a,Elven Ruins\0
33|21|25|30000.00000000|-30000.00000000|a,Elven Ruins\0
34|21|25|30000.00000000|-6873.00000000|a,Neutral Waterways\0
35|16|25|30000.00000000|-30000.00000000|a,Talking Island Village\0
41|22|22|30000.00000000|-30000.00000000|a,Giran Arena\0
42|23|22|30000.00000000|-30000.00000000|a,Giran Castle\0
43|22|22|30000.00000000|-30000.00000000|a,Town of Giran\0
44|21|23|30000.00000000|-30000.00000000|a,Giran Harbor\0
45|24|21|30000.00000000|-30000.00000000|a,Antharas' Lair\0
46|22|21|30000.00000000|-30000.00000000|a,Death Pass\0
47|20|22|30000.00000000|-30000.00000000|a,Dion Castle\0
48|20|22|30000.00000000|-30000.00000000|a,Town of Dion\0
49|20|23|30000.00000000|-30000.00000000|a,Monster Race Track\0
50|21|21|30000.00000000|-30000.00000000|a,Partisan's Hideaway\0
51|21|22|30000.00000000|-30000.00000000|a,Guillotine Fortress\0
52|20|21|30000.00000000|-4407.00000000|a,Cruma Marshlands\0
53|20|21|30000.00000000|-30000.00000000|a,Cruma Marshlands\0
54|20|21|30000.00000000|-4407.00000000|a,Cruma Tower\0
55|20|21|-4408.00000000|-14036.00000000|a,Cruma Tower\0
56|20|21|-4408.00000000|-30000.00000000|a,Cruma Tower\0
57|21|22|30000.00000000|-30000.00000000|a,Tanor Canyon\0
58|20|23|30000.00000000|-30000.00000000|a,Floran Village\0
59|20|23|30000.00000000|-30000.00000000|a,Bee Hive\0
60|20|14|-1952.00000000|-3952.00000000|a,Cave of Trials\0
61|20|13|30000.00000000|-30000.00000000|a,Frozen Waterfalls\0
62|18|14|30000.00000000|-30000.00000000|a,Orc Village\0
63|18|14|30000.00000000|-30000.00000000|a,Pa'agrio Temple\0
64|23|12|30000.00000000|-30000.00000000|a,Dwarven Village\0
65|25|12|4224.00000000|-4810.00000000|a,Mithril Mines\0
66|24|12|3424.00000000|-2704.00000000|a,Abandoned Coal Mines\0
67|23|12|30000.00000000|-30000.00000000|a,Strip Mine\0
68|24|20|30000.00000000|-30000.00000000|a,Forest of Mirrors\0
69|25|19|30000.00000000|-30000.00000000|a,Giant's Cave\0
70|25|19|-5172.00000000|-30000.00000000|a,Silent Valley\0
71|25|18|30000.00000000|-30000.00000000|a,The Cemetery\0
72|24|19|30000.00000000|-30000.00000000|a,Narsell Lake\0
73|25|19|30000.00000000|-30000.00000000|a,Forsaken Plains\0
74|23|20|30000.00000000|-30000.00000000|a,Hunters Village\0
75|25|18|30000.00000000|-4000.00000000|a,Seal of Shilen\0
76|24|18|30000.00000000|-30000.00000000|a,Aden Castle\0
77|24|18|30000.00000000|-30000.00000000|a,Town of Aden\0
78|25|20|30000.00000000|-30000.00000000|a,Anghel Waterfall\0
79|23|18|6944.00000000|5952.00000000|a,Tower of Insolence: 10th Floor\0
80|23|18|7952.00000000|6976.00000000|a,Tower of Insolence: 11th Floor\0
81|23|18|8960.00000000|7968.00000000|a,Tower of Insolence: 12th Floor\0
82|23|18|10048.00000000|8976.00000000|a,Tower of Insolence: 13th Floor\0
83|23|18|12000.00000000|10064.00000000|a,Tower of Insolence: 14th Floor\0
84|23|18|-3728.00000000|-10000.00000000|a,Tower of Insolence: 1st Floor\0
85|23|18|-2192.00000000|-3680.00000000|a,Tower of Insolence: 2nd Floor\0
86|23|18|-704.00000000|-2128.00000000|a,Tower of Insolence: 3rd Floor\0
87|23|18|784.00000000|-688.00000000|a,Tower of Insolence: 4th Floor\0
88|23|18|1872.00000000|896.00000000|a,Tower of Insolence: 5th Floor\0
89|23|18|2912.00000000|1888.00000000|a,Tower of Insolence: 6th Floor\0
90|23|18|3920.00000000|2928.00000000|a,Tower of Insolence: 7th Floor\0
91|23|18|4928.00000000|3952.00000000|a,Tower of Insolence: 8th Floor\0
92|23|18|5936.00000000|4944.00000000|a,Tower of Insolence: 9th Floor\0
93|24|19|30000.00000000|-30000.00000000|a,Coliseum\0
94|25|17|30000.00000000|-4220.00000000|a,Devastated Castle\0
95|24|17|30000.00000000|-30000.00000000|a,Blazing Swamp\0
96|23|17|30000.00000000|-30000.00000000|a,Ancient Battleground\0
97|23|17|30000.00000000|-30000.00000000|a,Eastern Border Outpost\0
98|22|17|30000.00000000|-30000.00000000|a,Bandit Stronghold\0
99|22|18|30000.00000000|-4632.00000000|a,Ivory Tower\0
100|22|19|30000.00000000|-30000.00000000|a,Oren Castle\0
101|22|19|30000.00000000|-30000.00000000|a,Town of Oren\0
102|22|20|30000.00000000|-3900.00000000|a,Plains of the Lizardmen\0
103|23|19|30000.00000000|-30000.00000000|a,Enchanted Valley\0
104|21|18|30000.00000000|-30000.00000000|a,Sea of Spores\0
105|22|19|30000.00000000|-30000.00000000|a,Sel Mahum Training Grounds\0
106|19|19|30000.00000000|-30000.00000000|a,Bloody Swampland\0
107|20|18|30000.00000000|-30000.00000000|a,Dark Elf Village\0
108|20|18|30000.00000000|-30000.00000000|a,Shilen Temple\0
109|18|20|30000.00000000|-4000.00000000|a,Altar of Rites\0
110|18|19|30000.00000000|-30000.00000000|a,School of Dark Arts\0
111|21|19|30000.00000000|-30000.00000000|a,Shadow of the Mother Tree\0
112|21|20|30000.00000000|-30000.00000000|a,Iris Lake\0
113|21|19|30000.00000000|-30000.00000000|a,Elven Village\0
114|20|20|-3200.00000000|-4450.00000000|a,Elven Fortress\0
115|21|19|30000.00000000|-30000.00000000|a,Starlight Waterfall\0
116|22|23|30000.00000000|-30000.00000000|a,Field of Silence\0
117|22|24|30000.00000000|-30000.00000000|a,Field of Whispers\0
118|23|24|30000.00000000|-30000.00000000|a,Heine\0
119|21|24|30000.00000000|-30000.00000000|a,Devil's Isle\0
120|23|23|30000.00000000|-30000.00000000|a,Alligator Island\0
121|22|25|30000.00000000|-30000.00000000|a,Garden of Eva\0
122|23|24|30000.00000000|-30000.00000000|a,Tour Boat Dock\0
123|23|25|30000.00000000|-30000.00000000|a,Innadril Castle\0
124|21|24|30000.00000000|-30000.00000000|a,Pirate Tunnel\0
125|17|21|-3968.00000000|-5056.00000000|a,Oracle of Dawn\0
126|17|20|-4224.00000000|-5312.00000000|a,Oracle of Dusk\0
127|18|20|-4064.00000000|-4896.00000000|a,Necropolis of Devotion\0
128|18|24|-4282.00000000|-5242.00000000|a,Necropolis of Sacrifice\0
129|19|18|-4224.00000000|-5056.00000000|a,Catacomb of Dark Omens\0
130|19|20|-4496.00000000|-5328.00000000|a,The Patriot's Necropolis\0
131|21|21|-4736.00000000|-5568.00000000|a,The Pilgrim's Necropolis\0
132|21|22|-4704.00000000|-5536.00000000|a,Catacomb of the Heretic\0
133|21|23|-4304.00000000|-5136.00000000|a,Catacomb of the Branded\0
134|22|20|-3936.00000000|-5280.00000000|a,Catacomb of the Apostate\0
135|22|24|-4762.00000000|-5594.00000000|a,The Saint's Necropolis\0
136|23|20|-5352.00000000|-6696.00000000|a,Catacomb of the Forbidden Path\0
137|23|22|-4154.00000000|-4986.00000000|a,Necropolis of Martyrdom\0
138|23|23|-4762.00000000|-5594.00000000|a,Necropolis of Worship\0
139|24|20|-3984.00000000|-5584.00000000|a,Catacomb of the Witch\0
140|25|17|-4224.00000000|-5644.00000000|a,The Disciple's Necropolis\0
141|16|10|30000.00000000|-30000.00000000|a,GM Consultation Service\0
142|18|24|-4282.00000000|-5242.00000000|a,Necropolis of Sacrifice\0
143|17|20|-4224.00000000|-5312.00000000|a,Oracle of Dusk\0
144|17|20|30000.00000000|-4220.00000000|a,Gludio Territory\0
145|17|20|-4224.00000000|-5312.00000000|a,Oracle of Dusk\0
146|17|20|30000.00000000|-4220.00000000|a,The Dark Forest\0
147|18|22|30000.00000000|-30000.00000000|a,Fellmere Lake\0
148|17|22|30000.00000000|-30000.00000000|a,Fellmere Lake\0
149|19|24|30000.00000000|-4200.00000000|a,Langk Lizardmen Dwellings\0
150|18|24|30000.00000000|-30000.00000000|a,Red Rock Ridge\0
151|19|24|30000.00000000|-30000.00000000|a,Red Rock Ridge\0
152|18|23|-3760.00000000|-5632.00000000|a,Forgotten Temple\0
153|21|23|30000.00000000|-30000.00000000|a,Tanor Canyon\0
154|22|22|30000.00000000|-30000.00000000|a,Tanor Canyon\0
155|21|23|30000.00000000|-30000.00000000|a,Bee Hive\0
156|23|18|30000.00000000|-30000.00000000|a,Ancient Battleground\0
157|18|24|30000.00000000|-4200.00000000|a,Red Rock Ridge\0
158|22|20|30000.00000000|-3900.00000000|a,Oren Territory\0
159|22|20|-3936.00000000|-5280.00000000|a,Catacomb of the Apostate\0
160|17|21|30000.00000000|-3950.00000000|a,Gludio Territory\0
161|18|20|30000.00000000|-4000.00000000|a,The Dark Forest\0
162|18|20|-4064.00000000|-4896.00000000|a,Necropolis of Devotion\0
163|18|20|30000.00000000|-4000.00000000|a,Misty Mountains\0
164|18|20|-4064.00000000|-4896.00000000|a,Necropolis of Devotion\0
165|19|20|-4496.00000000|-5328.00000000|a,The Patriot's Necropolis\0
166|19|20|30000.00000000|-4480.00000000|a,The Dark Forest\0
167|19|20|30000.00000000|-4480.00000000|a,Neutral Zone\0
168|19|18|30000.00000000|-4220.00000000|a,The Dark Forest\0
169|21|21|30000.00000000|-4700.00000000|a,Partisan's Hideaway\0
170|21|22|30000.00000000|-4700.00000000|a,Guillotine Fortress\0
171|21|23|30000.00000000|-4300.00000000|a,Giran Territory\0
172|22|24|30000.00000000|-4760.00000000|a,Field of Whispers\0
173|23|20|30000.00000000|-5350.00000000|a,Hunters Village\0
174|23|22|30000.00000000|-4150.00000000|a,Gorgon Flower Garden\0
175|23|23|30000.00000000|-4760.00000000|a,Alligator Island\0
176|24|20|30000.00000000|-3980.00000000|a,Forest of Mirrors\0
177|25|17|-4224.00000000|-5644.00000000|a,The Disciple's Necropolis\0
178|25|21|30000.00000000|-30000.00000000|a,Antharas' Nest\0
179|19|23|30000.00000000|-4400.00000000|a,Wasteland\0
180|20|14|30000.00000000|29999.00000000|a,_Lyonn Territory\0
181|20|20|30000.00000000|-3100.00000000|a,Elven Forest\0
182|18|23|30000.00000000|-3700.00000000|a,Gludio Territory\0
183|24|12|30000.00000000|3430.00000000|a,Schuttgart Territory\0
184|25|12|30000.00000000|4250.00000000|a,Schuttgart Territory\0
185|25|19|30000.00000000|-5170.00000000|a,Giant's Cave\0
186|19|19|30000.00000000|-30000.00000000|a,Undine Waterfall\0
187|22|18|30000.00000000|-30000.00000000|a,Gods' Falls\0
188|25|17|30000.00000000|-4220.00000000|a,Fields of Massacre\0
189|19|13|30000.00000000|-30000.00000000|a,Immortal Plateau, Northern Region\0
190|19|14|30000.00000000|-30000.00000000|a,Immortal Plateau, Northern Region\0
191|19|15|30000.00000000|-30000.00000000|a,Immortal Plateau, Northern Region\0
192|20|13|30000.00000000|-30000.00000000|a,Immortal Plateau, Northern Region\0
193|20|14|30000.00000000|-30000.00000000|a,Immortal Plateau, Northern Region\0
194|19|15|30000.00000000|-30000.00000000|a,Immortal Plateau, Southern Region\0
195|20|14|30000.00000000|-30000.00000000|a,Immortal Plateau, Southern Region\0
196|20|15|30000.00000000|-30000.00000000|a,Immortal Plateau, Southern Region\0
197|18|14|30000.00000000|-30000.00000000|a,Valley of Heroes\0
198|19|14|30000.00000000|-30000.00000000|a,Valley of Heroes\0
199|23|12|30000.00000000|-30000.00000000|a,Frozen Valley\0
200|23|11|30000.00000000|-30000.00000000|a,Western Mining Zone\0
201|23|12|30000.00000000|-30000.00000000|a,Western Mining Zone\0
202|24|11|30000.00000000|-30000.00000000|a,Western Mining Zone\0
203|24|12|30000.00000000|-30000.00000000|a,Western Mining Zone\0
204|24|11|30000.00000000|-30000.00000000|a,Eastern Mining Zone\0
205|24|12|30000.00000000|-30000.00000000|a,Eastern Mining Zone\0
206|25|11|30000.00000000|-30000.00000000|a,Eastern Mining Zone\0
207|25|12|30000.00000000|-30000.00000000|a,Eastern Mining Zone\0
208|23|24|30000.00000000|-30000.00000000|a,Alligator Beach\0
209|24|18|30000.00000000|-30000.00000000|a,Plains of Glory\0
210|24|17|30000.00000000|-30000.00000000|a,Fields of Massacre\0
211|25|17|30000.00000000|-30000.00000000|a,Fields of Massacre\0
212|24|18|30000.00000000|-30000.00000000|a,War-Torn Plains\0
213|25|18|30000.00000000|-30000.00000000|a,War-Torn Plains\0
214|23|21|30000.00000000|-30000.00000000|a,Gorgon Flower Garden\0
215|23|22|30000.00000000|-30000.00000000|a,Gorgon Flower Garden\0
216|22|21|30000.00000000|-30000.00000000|a,Breka's Stronghold\0
217|22|22|30000.00000000|-30000.00000000|a,Breka's Stronghold\0
218|17|20|30000.00000000|-30000.00000000|a,Spider Nest\0
219|18|20|30000.00000000|-30000.00000000|a,Spider Nest\0
220|18|19|30000.00000000|-30000.00000000|a,Black Rock Hill\0
221|18|20|30000.00000000|-30000.00000000|a,Black Rock Hill\0
222|19|19|30000.00000000|-30000.00000000|a,Black Rock Hill\0
223|19|20|30000.00000000|-30000.00000000|a,Black Rock Hill\0
224|19|18|30000.00000000|-30000.00000000|a,Shilen's Garden\0
225|20|18|30000.00000000|-30000.00000000|a,Shilen's Garden\0
226|21|18|30000.00000000|-30000.00000000|a,Shilen's Garden\0
227|18|20|30000.00000000|-30000.00000000|a,Forest of Sacrifice\0
228|19|20|30000.00000000|-30000.00000000|a,Forest of Sacrifice\0
229|19|21|30000.00000000|-30000.00000000|a,Evil Hunting Grounds\0
230|20|21|30000.00000000|-30000.00000000|a,Evil Hunting Grounds\0
231|22|19|30000.00000000|-30000.00000000|a,Timak Outpost\0
232|22|20|30000.00000000|-30000.00000000|a,Timak Outpost\0
233|22|17|30000.00000000|-30000.00000000|a,Outlaw Forest\0
234|22|18|30000.00000000|-30000.00000000|a,Outlaw Forest\0
235|23|17|30000.00000000|-30000.00000000|a,Outlaw Forest\0
236|23|18|30000.00000000|-30000.00000000|a,Outlaw Forest\0
237|23|20|30000.00000000|-30000.00000000|a,Hunters Valley\0
238|22|18|30000.00000000|-30000.00000000|a,Forest of Evil\0
239|22|18|30000.00000000|-30000.00000000|a,Ivory Tower Crater\0
240|22|18|-4633.00000000|-30000.00000000|a,Ivory Tower Crater\0
241|20|23|30000.00000000|-30000.00000000|a,Plains of Dion\0
242|20|22|30000.00000000|-30000.00000000|a,Floran Agricultural Area\0
243|20|23|30000.00000000|-30000.00000000|a,Floran Agricultural Area\0
244|20|22|30000.00000000|-30000.00000000|a,Dion Hills\0
245|21|22|30000.00000000|-30000.00000000|a,Dion Hills\0
246|19|22|30000.00000000|-30000.00000000|a,Windawood Manor\0
247|19|23|30000.00000000|-30000.00000000|a,Windawood Manor\0
248|19|24|30000.00000000|-30000.00000000|a,Ol Mahum Checkpoint\0
249|17|20|30000.00000000|-30000.00000000|a,Fellmere Harvesting Grounds\0
250|17|21|30000.00000000|-30000.00000000|a,Fellmere Harvesting Grounds\0
251|18|21|30000.00000000|-30000.00000000|a,Fellmere Harvesting Grounds\0
252|18|21|30000.00000000|-30000.00000000|a,Ruined Bend\0
253|18|22|30000.00000000|-30000.00000000|a,Ruined Bend\0
254|19|22|30000.00000000|-30000.00000000|a,Ruined Bend\0
255|17|22|30000.00000000|-30000.00000000|a,Windmill Hill\0
256|17|23|30000.00000000|-30000.00000000|a,Windmill Hill\0
257|18|22|30000.00000000|-30000.00000000|a,Windmill Hill\0
258|18|23|30000.00000000|-30000.00000000|a,Windmill Hill\0
267|20|23|30000.00000000|-30000.00000000|a,Dion Arena\0
268|0|0|30000.00000000|-30000.00000000|a,Goddard Territory\0
269|24|16|30000.00000000|-30000.00000000|a,Town of Goddard\0
270|24|16|30000.00000000|-30000.00000000|a,Goddard Castle\0
271|24|16|30000.00000000|-30000.00000000|a,Garden of Beasts\0
272|24|14|30000.00000000|-30000.00000000|a,Hot Springs\0
273|25|14|-1910.00000000|-4268.00000000|a,Forge of the Gods, Upper Level\0
274|25|14|-4270.00000000|-300000.00000000|a,Forge of the Gods, Lower Level\0
275|25|14|30000.00000000|-1900.00000000|a,Hall of Flames\0
276|26|14|30000.00000000|-30000.00000000|a,Valakas' Lair\0
277|24|15|30000.00000000|-30000.00000000|a,Ketra Orc Outpost\0
279|25|15|30000.00000000|-30000.00000000|a,Shrine of Loyalty\0
280|25|15|30000.00000000|-30000.00000000|a,Pilgrim's Temple\0
281|25|15|30000.00000000|-30000.00000000|a,Sepulcher of Conquerors\0
282|25|15|30000.00000000|-30000.00000000|a,Sepulcher of Rulers\0
283|25|15|-5600.00000000|-30000.00000000|a,Sepulcher of Great Sages\0
284|25|15|-5600.00000000|-30000.00000000|a,Sepulcher of Judges\0
285|25|15|-5600.00000000|-30000.00000000|a,Sepulcher of Judges\0
287|25|16|30000.00000000|-30000.00000000|a,Wall of Argos\0
288|25|16|30000.00000000|-30000.00000000|a,Shrine of Loyalty\0
289|23|16|30000.00000000|-30000.00000000|a,Varka Silenos Barracks\0
290|0|0|30000.00000000|-30000.00000000|a,Rune Territory\0
291|21|16|30000.00000000|-30000.00000000|a,Town of Rune\0
292|21|16|30000.00000000|-30000.00000000|a,Rune Harbor\0
293|21|15|30000.00000000|-30000.00000000|a,Windtail Waterfall\0
294|21|15|30000.00000000|-30000.00000000|a,Beast Farm\0
295|22|15|30000.00000000|-30000.00000000|a,Valley of Saints\0
296|21|15|30000.00000000|-30000.00000000|a,Valley of Saints\0
297|23|15|30000.00000000|-30000.00000000|a,Valley of Saints\0
298|21|16|30000.00000000|-30000.00000000|a,Forest of the Dead\0
299|22|16|30000.00000000|-3490.00000000|a,Swamp of Screams\0
300|22|15|30000.00000000|-3490.00000000|a,Swamp of Screams\0
301|23|16|30000.00000000|-3490.00000000|a,Swamp of Screams\0
302|23|16|30000.00000000|-30000.00000000|a,Devil's Pass\0
303|16|12|30000.00000000|-30000.00000000|a,Dimensional Rift\0
304|25|14|30000.00000000|-30000.00000000|a,Forge of the Gods, Upper Level\0
305|25|20|30000.00000000|-30000.00000000|a,Forest of Mirrors\0
306|19|23|-3700.00000000|-30000.00000000|a,Ant Incubator\0
307|19|23|30000.00000000|-4400.00000000|a,Wasteland\0
308|21|21|30000.00000000|-30000.00000000|a,Death Pass\0
309|23|21|30000.00000000|-30000.00000000|a,Death Pass\0
310|21|16|30000.00000000|-30000.00000000|a,Cursed Village\0
311|0|0|30000.00000000|-30000.00000000|a,Olympiad Stadium\0
312|23|16|30000.00000000|-30000.00000000|a,Varka Silenos Village\0
313|24|15|30000.00000000|-30000.00000000|a,Ketra Orc Village\0
314|23|21|30000.00000000|-30000.00000000|a,Hardin's Academy\0
315|20|16|30000.00000000|-1300.00000000|a,Rune Castle\0
316|19|16|-5600.00000000|-30000.00000000|a,The Pagan Temple\0
317|22|16|-3500.00000000|-30000.00000000|a,Stakato Nest\0
318|22|16|30000.00000000|-30000.00000000|a,Stakato Nest\0
321|25|15|-4500.00000000|-5500.00000000|a,Last Imperial Tomb\0
322|24|14|30000.00000000|-30000.00000000|a,Rainbow Springs Chateau\0
323|21|15|30000.00000000|-30000.00000000|a,Wild Beast Reserve\0
324|21|17|30000.00000000|-30000.00000000|a,Fortress of the Dead\0
325|22|13|30000.00000000|-30000.00000000|a,Schuttgart Castle\0
326|22|13|30000.00000000|-30000.00000000|a,Town of Schuttgart\0
327|21|14|30000.00000000|-30000.00000000|a,Valley of the Lords\0
328|23|12|30000.00000000|-30000.00000000|a,Mining Zone Passage\0
329|23|13|30000.00000000|-30000.00000000|a,Plunderous Plains\0
330|23|14|30000.00000000|-30000.00000000|a,Frozen Labyrinth\0
331|23|14|30000.00000000|-30000.00000000|a,Freya's Garden\0
332|22|14|30000.00000000|-30000.00000000|a,Pavel Ruins\0
333|22|14|30000.00000000|-30000.00000000|a,Caron's Dungeon\0
334|22|14|30000.00000000|-30000.00000000|a,Den of Evil\0
335|21|14|30000.00000000|-30000.00000000|a,Crypts of Disgrace\0
336|22|14|30000.00000000|-30000.00000000|a,Archaic Laboratory\0
337|23|14|30000.00000000|-30000.00000000|a,Frost Lake\0
338|23|13|30000.00000000|-30000.00000000|a,Sky Wagon Relic\0
339|25|15|-4500.00000000|-5500.00000000|a,Last Imperial Tomb\0
340|25|15|-5600.00000000|-30000.00000000|a,Sepulcher of Great Sages\0
341|25|15|-4500.00000000|-5500.00000000|a,Last Imperial Tomb\0
342|21|14|30000.00000000|-30000.00000000|a,Grave Robber Hideout\0
343|23|13|30000.00000000|-30000.00000000|a,Railroad Station\0
345|23|12|30000.00000000|-30000.00000000|a,Plunderous Plains\0
346|20|14|29998.00000000|-3900.00000000|a,Schuttgart Territory\0
347|23|14|30000.00000000|-30000.00000000|a,Ice Merchant Cabin\0
348|23|13|30000.00000000|-30000.00000000|a,Brigand Stronghold\0
349|21|21|30000.00000000|-30000.00000000|a,Fortress of Resistance\0
350|23|17|30000.00000000|-30000.00000000|a,Western Border Outpost\0
351|0|0|30000.00000000|-30000.00000000|a,Immortal Plateau\0
352|0|0|30000.00000000|-30000.00000000|a,Spine Mountains\0
353|24|17|30000.00000000|-30000.00000000|a,Eastern Border Outpost\0
354|22|20|30000.00000000|-30000.00000000|a,Sel Mahum Training Grounds\0
355|20|17|30000.00000000|-30000.00000000|a,Primeval Plains\0
356|20|17|30000.00000000|-30000.00000000|a,Lost Nest\0
357|20|17|30000.00000000|-30000.00000000|a,Primeval Isle\0
358|18|10|-5000.00000000|-30000.00000000|a,Catacomb of the Heretic\0
359|19|10|-5000.00000000|-30000.00000000|a,Catacomb of the Apostate\0
360|20|10|-5000.00000000|-30000.00000000|a,Catacomb of the Forbidden Path\0
361|20|17|30000.00000000|-30000.00000000|a,Primeval Isle Wharf\0
362|20|17|30000.00000000|-30000.00000000|a,Sailren's Den\0
364|20|25|30000.00000000|-30000.00000000|a,Hellbound\0
365|20|25|30000.00000000|-30000.00000000|a,Steel Citadel\0
366|20|26|-5870.00000000|-10600.00000000|a,Steel Citadel\0
367|19|25|30000.00000000|-30000.00000000|a,Enchanted Megaliths\0
368|19|25|30000.00000000|-30000.00000000|a,Hidden Oasis\0
369|19|25|30000.00000000|-30000.00000000|a,Ancient Temple Remnants\0
370|19|25|30000.00000000|-30000.00000000|a,Sand Swept Dunes\0
371|19|25|30000.00000000|-30000.00000000|a,Caravan Encampment\0
372|19|25|30000.00000000|-30000.00000000|a,Hellbound Quarry\0
373|20|25|30000.00000000|-30000.00000000|a,Wounded Land\0
374|20|25|30000.00000000|-30000.00000000|a,Steel Citadel Outpost\0
375|20|25|30000.00000000|-30000.00000000|a,Anomic Foundry\0
376|20|25|30000.00000000|9500.00000000|a,Tower of Infinitum\0
377|20|25|30000.00000000|9500.00000000|a,Tully's Workshop\0
378|20|25|30000.00000000|9500.00000000|a,Tower of Naia\0
379|20|25|9500.00000000|-30000.00000000|a,Steel Citadel\0
380|20|25|9500.00000000|-30000.00000000|a,Steel Citadel\0
381|20|25|9500.00000000|-30000.00000000|a,Steel Citadel\0
383|23|22|30000.00000000|-30000.00000000|a,Isle of Prayer\0
384|24|22|-11000.00000000|-13000.00000000|a,Crystal Caverns\0
385|24|22|30000.00000000|-11000.00000000|a,Isle of Prayer\0
386|24|22|30000.00000000|-5000.00000000|a,Chromatic Highlands\0
387|24|23|-5750.00000000|-6210.00000000|a,Dark Cloud Mansion\0
388|24|23|30000.00000000|-5750.00000000|a,Isle of Prayer\0
389|24|23|30000.00000000|-5000.00000000|a,Coral Reef\0
390|24|23|30000.00000000|-1015.00000000|a,Parnassus\0
391|24|23|-1015.00000000|-30000.00000000|a,Isle of Prayer\0
392|24|22|-5000.00000000|-16000.00000000|a,Coral Garden\0
393|24|22|30000.00000000|-5000.00000000|a,Dark Cloud Mansion\0
394|24|22|-9000.00000000|-16000.00000000|a,Emerald Square\0
395|24|22|30000.00000000|-9000.00000000|a,Isle of Prayer\0
396|24|22|-7400.00000000|-16000.00000000|a,Steam Corridor\0
397|24|22|30000.00000000|-7400.00000000|a,Chromatic Highlands\0
398|24|22|-11000.00000000|-16000.00000000|a,Coral Garden\0
399|24|22|30000.00000000|-10000.00000000|a,Isle of Prayer\0
400|24|22|-14500.00000000|-16000.00000000|a,Coral Garden Hall\0
401|24|22|-9000.00000000|-13000.00000000|a,Emerald Square\0
402|24|22|30000.00000000|-8500.00000000|a,Isle of Prayer\0
406|17|20|30000.00000000|-30000.00000000|a,Isle of Souls: Dystopia\0
407|16|19|30000.00000000|-30000.00000000|a,Isle of Souls\0
408|17|19|30000.00000000|-30000.00000000|a,Isle of Souls\0
409|16|19|30000.00000000|-30000.00000000|a,Kamael Village\0
410|17|19|-3650.00000000|-5400.00000000|a,Nornil's Cave\0
411|17|19|30000.00000000|-3650.00000000|a,Mimir's Forest\0
412|16|20|-6730.00000000|-15700.00000000|a,Nornil's Garden\0
413|16|20|30000.00000000|-6730.00000000|a,Hills of Gold\0
414|16|19|3300.00000000|-430.00000000|a,Cave of Souls\0
415|16|19|30000.00000000|3300.00000000|a,Isle of Souls\0
416|16|19|-430.00000000|-30000.00000000|a,Isle of Souls\0
417|16|19|30000.00000000|-30000.00000000|a,Mimir's Forest\0
418|17|19|30000.00000000|-30000.00000000|a,Mimir's Forest\0
419|16|19|30000.00000000|-30000.00000000|a,Hills of Gold\0
420|16|20|30000.00000000|-30000.00000000|a,Hills of Gold\0
421|17|19|30000.00000000|-30000.00000000|a,Hills of Gold\0
422|18|22|30000.00000000|-30000.00000000|a,Camp Fortress\0
423|19|24|30000.00000000|-30000.00000000|a,Gludio Southern Fortress\0
424|20|23|30000.00000000|-30000.00000000|a,Hive Fortress\0
