id|name|description|rgb[0]|rgb[1]|rgb[2]
20240|a,Royal Cave Servant\0|a,|9C|E8|A9
20241|a,Hunter Gargoyle\0|a,|9C|E8|A9
20242|a,Dustwind Gargoyle\0|a,|9C|E8|A9
20243|a,Thunder Wyrm\0|a,|9C|E8|A9
20244|a,Maluk Succubus\0|a,|9C|E8|A9
20245|a,Maluk Succubus Turen\0|a,|9C|E8|A9
20246|a,Cave Keeper\0|a,|9C|E8|A9
20248|a,Turak Bugbear\0|a,|9C|E8|A9
20249|a,Turak Bugbear Warrior\0|a,|9C|E8|A9
20250|a,Glass Jaguar\0|a,|9C|E8|A9
20251|a,Delu Lizardman\0|a,|9C|E8|A9
20252|a,Delu Lizardman Scout\0|a,|9C|E8|A9
20253|a,Delu Lizardman Warrior\0|a,|9C|E8|A9
20254|a,Skeleton Axeman\0|a,|9C|E8|A9
20255|a,Batur Orc\0|a,|9C|E8|A9
20256|a,Batur Orc Archer\0|a,|9C|E8|A9
20257|a,Batur Orc Warrior\0|a,|9C|E8|A9
20258|a,Batur Orc Shaman\0|a,|9C|E8|A9
20259|a,Batur Orc Prefect\0|a,|9C|E8|A9
20260|a,Orc Hero\0|a,|9C|E8|A9
20261|a,Orc Shaman\0|a,|9C|E8|A9
20265|a,Monster Eye Searcher\0|a,|9C|E8|A9
20266|a,Monster Eye Gazer\0|a,|9C|E8|A9
20267|a,Breka Orc\0|a,|9C|E8|A9
20268|a,Breka Orc Archer\0|a,|9C|E8|A9
20269|a,Breka Orc Shaman\0|a,|9C|E8|A9
20270|a,Breka Orc Prefect\0|a,|9C|E8|A9
20271|a,Breka Orc Warrior\0|a,|9C|E8|A9
20272|a,Cave Servant\0|a,|9C|E8|A9
20273|a,Cave Servant Archer\0|a,|9C|E8|A9
20274|a,Cave Servant Warrior\0|a,|9C|E8|A9
20275|a,Cave Servant Captain\0|a,|9C|E8|A9
20276|a,Royal Cave Servant\0|a,|9C|E8|A9
20277|a,Cave Keeper\0|a,|9C|E8|A9
20279|a,Shackle\0|a,|9C|E8|A9
20280|a,Headless Knight\0|a,|9C|E8|A9
20281|a,Dustwind Gargoyle\0|a,|9C|E8|A9
20282|a,Thunder Wyrm\0|a,|9C|E8|A9
20283|a,Maluk Succubus\0|a,|9C|E8|A9
20284|a,Maluk Succubus Turen\0|a,|9C|E8|A9
20285|a,Drake\0|a,|9C|E8|A9
20286|a,Hunter Gargoyle\0|a,|9C|E8|A9
20287|a,Cave Maiden\0|a,|9C|E8|A9
20291|a,Enku Orc Hero\0|a,|9C|E8|A9
20292|a,Enku Orc Shaman\0|a,|9C|E8|A9
20293|a,Virud Lizardman\0|a,|9C|E8|A9
20294|a,Virud Lizardman Matriarch\0|a,|9C|E8|A9
20295|a,Virud Lizardman Warrior\0|a,|9C|E8|A9
20296|a,Virud Lizardman Scout\0|a,|9C|E8|A9
20297|a,Virud Lizardman Shaman \0|a,|9C|E8|A9
20298|a,Virud Lizardman Shaman \0|a,|9C|E8|A9
20299|a,Zenta Lizardman\0|a,|9C|E8|A9
20300|a,Zenta Lizardman Matriarch\0|a,|9C|E8|A9
20301|a,Zenta Lizardman Scout\0|a,|9C|E8|A9
20302|a,Zenta Lizardman Warrior\0|a,|9C|E8|A9
20303|a,Zenta Lizardman Shaman\0|a,|9C|E8|A9
20304|a,Marsh Stakato Queen\0|a,|9C|E8|A9
20305|a,Grave\0|a,|9C|E8|A9
20307|a,Garum Werewolf\0|a,|9C|E8|A9
20308|a,Hook Spider\0|a,|9C|E8|A9
20309|a,Brown Fox\0|a,|9C|E8|A9
20310|a,Brown Bear\0|a,|9C|E8|A9
20311|a,Rakeclaw Imp\0|a,|9C|E8|A9
20312|a,Rakeclaw Imp Hunter\0|a,|9C|E8|A9
20313|a,Rakeclaw Imp Leader\0|a,|9C|E8|A9
20314|a,Giant White Shark\0|a,|9C|E8|A9
20316|a,Blackwing Bat\0|a,|9C|E8|A9
20317|a,Black Wolf\0|a,|9C|E8|A9
20318|a,Black Timber Wolf\0|a,|9C|E8|A9
20319|a,Goblin Tomb Raider\0|a,|9C|E8|A9
20320|a,Goblin Tomb Raider Leader\0|a,|9C|E8|A9
20321|a,Goblin Thief\0|a,|9C|E8|A9
20322|a,Goblin Brigand\0|a,|9C|E8|A9
20323|a,Goblin Brigand Leader\0|a,|9C|E8|A9
20324|a,Goblin Brigand Lieutenant\0|a,|9C|E8|A9
20325|a,Goblin Raider\0|a,|9C|E8|A9
20326|a,Goblin Scout\0|a,|9C|E8|A9
20327|a,Goblin Snooper\0|a,|9C|E8|A9
20328|a,Goblin Lookout\0|a,|9C|E8|A9
20329|a,Ghost Guardian\0|a,|9C|E8|A9
20330|a,Spelunking Bat\0|a,|9C|E8|A9
20331|a,Monster Eye Tracker\0|a,|9C|E8|A9
20333|a,Greystone Golem\0|a,|9C|E8|A9
20334|a,Gremlin Scavenger\0|a,|9C|E8|A9
20335|a,Grizzly Bear\0|a,|9C|E8|A9
20336|a,Green Dryad\0|a,|9C|E8|A9
20337|a,Longtail Fox\0|a,|9C|E8|A9
20338|a,Nightmare Weaver\0|a,|9C|E8|A9
20340|a,Slave Skeleton\0|a,|9C|E8|A9
20341|a,Undead Slave\0|a,|9C|E8|A9
20342|a,Werewolf Chieftain\0|a,|9C|E8|A9
20343|a,Werewolf Hunter\0|a,|9C|E8|A9
20345|a,Dark Terror\0|a,|9C|E8|A9
20346|a,Darkstone Golem\0|a,|9C|E8|A9
20347|a,Doom Wraith\0|a,|9C|E8|A9
20348|a,Cave Spider\0|a,|9C|E8|A9
20349|a,Cave Bat\0|a,|9C|E8|A9
20350|a,Cave Fang Spider\0|a,|9C|E8|A9
20351|a,Dre Vanul Tracker\0|a,|9C|E8|A9
20352|a,Dre Vanul Slayer\0|a,|9C|E8|A9
20353|a,Dre Vanul Beholder\0|a,|9C|E8|A9
20354|a,Dwarf Ghost\0|a,|9C|E8|A9
20356|a,Langk Lizardman Leader\0|a,|9C|E8|A9
20357|a,Langk Lizardman Lieutenant\0|a,|9C|E8|A9
20358|a,Ratman Hunter\0|a,|9C|E8|A9
20359|a,Ratman Warrior\0|a,|9C|E8|A9
20360|a,Ratman Spy\0|a,|9C|E8|A9
20361|a,Tunath Orc Marksman\0|a,|9C|E8|A9
20362|a,Tunath Orc Warrior Captain\0|a,|9C|E8|A9
20363|a,Maraku Werewolf\0|a,|9C|E8|A9
20364|a,Maraku Werewolf Chieftain\0|a,|9C|E8|A9
20365|a,Mountain Fungus\0|a,|9C|E8|A9
20367|a,Merkenis' Escort\0|a,|9C|E8|A9
20368|a,Graveyard Keeper\0|a,|9C|E8|A9
20369|a,Moonstone Beast\0|a,|9C|E8|A9
20370|a,Barbed Bat\0|a,|9C|E8|A9
20371|a,Mist Terror\0|a,|9C|E8|A9
20372|a,Baraq Orc Warrior\0|a,|9C|E8|A9
20373|a,Baraq Orc Warrior Captain\0|a,|9C|E8|A9
20374|a,Varangka's Guard\0|a,|9C|E8|A9
20375|a,Varangka's Escort\0|a,|9C|E8|A9
20376|a,Varika Brigand Leader\0|a,|9C|E8|A9
20377|a,Varika's Bandit\0|a,|9C|E8|A9
20378|a,Stone Giant\0|a,|9C|E8|A9
20379|a,Stone Giant Soldier\0|a,|9C|E8|A9
20380|a,Stone Giant Guardian\0|a,|9C|E8|A9
20381|a,Vaiss Orc\0|a,|9C|E8|A9
20382|a,Vaiss Orc Warrior Captain\0|a,|9C|E8|A9
20383|a,Binding\0|a,|9C|E8|A9
20385|a,Balor Orc Archer\0|a,|9C|E8|A9
20386|a,Balor Orc Warrior\0|a,|9C|E8|A9
20387|a,Balor Orc Warrior Captain\0|a,|9C|E8|A9
20388|a,Balor Orc Warrior Lieutenant\0|a,|9C|E8|A9
20389|a,Boogle Ratman\0|a,|9C|E8|A9
20390|a,Boogle Ratman Captain\0|a,|9C|E8|A9
20391|a,Red Fox\0|a,|9C|E8|A9
20392|a,Red Eye Bat\0|a,|9C|E8|A9
20393|a,Red Scavenger Spider\0|a,|9C|E8|A9
20394|a,Crimson Tarantula\0|a,|9C|E8|A9
20398|a,Vrykolakas\0|a,|9C|E8|A9
20399|a,Vrykolakas Wolfkin\0|a,|9C|E8|A9
20400|a,Blood Fungus\0|a,|9C|E8|A9
20401|a,Veelan Bugbear\0|a,|9C|E8|A9
20402|a,Veelan Bugbear Warrior\0|a,Enraged\0|9C|E8|A9
20403|a,Hunter Tarantula\0|a,|9C|E8|A9
20404|a,Silent Horror\0|a,|9C|E8|A9
20405|a,Young Brown Fox\0|a,|9C|E8|A9
20406|a,Young Red Fox\0|a,|9C|E8|A9
20407|a,Young Crimson Fox\0|a,|9C|E8|A9
20410|a,Scavenger Spider\0|a,|9C|E8|A9
20411|a,Scavenger Bat\0|a,Enraged\0|9C|E8|A9
20412|a,Susceptor\0|a,|9C|E8|A9
20415|a,Scarlet Salamander\0|a,|9C|E8|A9
20416|a,Scarlet Salamander Elder\0|a,|9C|E8|A9
20418|a,Crystalline Beast\0|a,|9C|E8|A9
20419|a,Akaste Succubus\0|a,|9C|E8|A9
20420|a,Akaste Succubus Turen\0|a,|9C|E8|A9
20421|a,Akaste Succubus Tilfo\0|a,|9C|E8|A9
20422|a,Akaste Skeleton Prefect\0|a,|9C|E8|A9
20423|a,Akaste Skeleton Archer\0|a,|9C|E8|A9
20424|a,Akaste Skeleton Lord\0|a,|9C|E8|A9
20425|a,Akaste Skeleton Warrior\0|a,|9C|E8|A9
20426|a,Evil Eye\0|a,|9C|E8|A9
20427|a,Evil Eye Watchman\0|a,|9C|E8|A9
20428|a,Evil Eye Patrol\0|a,|9C|E8|A9
20429|a,Evil Eye Lookout\0|a,|9C|E8|A9
20431|a,Elf Ghost\0|a,|9C|E8|A9
20432|a,Elpy\0|a,|9C|E8|A9
20433|a,Festering Bat\0|a,|9C|E8|A9
20435|a,Opal Beast\0|a,|9C|E8|A9
20436|a,Ol Mahum Supplier\0|a,|9C|E8|A9
20437|a,Ol Mahum Recruit\0|a,|9C|E8|A9
20438|a,Ol Mahum General\0|a,|9C|E8|A9
20439|a,Ol Mahum Sergeant\0|a,|9C|E8|A9
20440|a,Elder Brown Fox\0|a,|9C|E8|A9
20441|a,Elder Longtail Fox\0|a,|9C|E8|A9
20442|a,Elder Wolf\0|a,|9C|E8|A9
20443|a,Elder Red Fox\0|a,|9C|E8|A9
20444|a,Elder Prairie Fox\0|a,|9C|E8|A9
20445|a,Uthanka Pirate\0|a,|9C|E8|A9
20446|a,Utuku Orc\0|a,|9C|E8|A9
20447|a,Utuku Orc Archer\0|a,|9C|E8|A9
20448|a,Utuku Orc Soldier\0|a,|9C|E8|A9
20449|a,Will-O-Wisp\0|a,|9C|E8|A9
20450|a,Relic Werewolf\0|a,|9C|E8|A9
20451|a,Relic Spartoi\0|a,|9C|E8|A9
20453|a,Human Ghost\0|a,|9C|E8|A9
20454|a,Forgotten Watchman\0|a,|9C|E8|A9
20455|a,Doom Soldier\0|a,|9C|E8|A9
20456|a,Ashen Wolf\0|a,|9C|E8|A9
20457|a,Zombie Soldier\0|a,|9C|E8|A9
20458|a,Zombie Warrior\0|a,Enraged\0|9C|E8|A9
20460|a,Crimson Spider\0|a,|9C|E8|A9
20461|a,Dungeon Spider\0|a,|9C|E8|A9
20462|a,Cave Blade Spider\0|a,|9C|E8|A9
20463|a,Dungeon Skeleton Archer\0|a,|9C|E8|A9
20464|a,Dungeon Skeleton Soldier\0|a,|9C|E8|A9
20465|a,Prairie Fox\0|a,|9C|E8|A9
20466|a,Pincer Spider\0|a,|9C|E8|A9
20468|a,Kaboo Orc\0|a,|9C|E8|A9
20469|a,Kaboo Orc Archer\0|a,|9C|E8|A9
20470|a,Kaboo Orc Soldier\0|a,|9C|E8|A9
20471|a,Kaboo Orc Warrior\0|a,|9C|E8|A9
20472|a,Kaboo Orc Warrior Captain\0|a,|9C|E8|A9
20473|a,Kaboo Orc Warrior Lieutenant\0|a,|9C|E8|A9
20474|a,Kasha Spider\0|a,|9C|E8|A9
20475|a,Kasha Wolf\0|a,|9C|E8|A9
20476|a,Kasha Fang Spider\0|a,|9C|E8|A9
20477|a,Kasha Timber Wolf\0|a,|9C|E8|A9
20478|a,Kasha Blade Spider\0|a,|9C|E8|A9
20479|a,Kasha Bear\0|a,|9C|E8|A9
20480|a,Blade Bat\0|a,|9C|E8|A9
20481|a,Bearded Keltir\0|a,|9C|E8|A9
20483|a,Corpse Candle\0|a,|9C|E8|A9
20487|a,Kuruka Ratman\0|a,|9C|E8|A9
20488|a,Kuruka Ratman Hunter\0|a,|9C|E8|A9
20489|a,Quicksilver Beast\0|a,|9C|E8|A9
20490|a,Death Doll\0|a,|9C|E8|A9
20491|a,Crypt Horror\0|a,|9C|E8|A9
20492|a,Kirunak's Escort\0|a,|9C|E8|A9
20494|a,Turek War Hound\0|a,|9C|E8|A9
20495|a,Turek Orc Prefect\0|a,|9C|E8|A9
20496|a,Turek Orc Archer\0|a,|9C|E8|A9
20497|a,Turek Orc Skirmisher\0|a,|9C|E8|A9
20498|a,Turek Orc Supplier\0|a,|9C|E8|A9
20499|a,Turek Orc Footman\0|a,|9C|E8|A9
20500|a,Turek Orc Sentinel\0|a,|9C|E8|A9
20501|a,Turek Orc Priest\0|a,|9C|E8|A9
20502|a,Twink Puma\0|a,|9C|E8|A9
20504|a,Dread Soldier\0|a,|9C|E8|A9
20505|a,Ruin Bat\0|a,|9C|E8|A9
20506|a,Ruin Imp\0|a,Enraged\0|9C|E8|A9
20507|a,Ruin Imp Elder\0|a,Enraged\0|9C|E8|A9
20508|a,Plunder Tarantula\0|a,|9C|E8|A9
20509|a,Spore Fungus\0|a,|9C|E8|A9
20510|a,Puma\0|a,|9C|E8|A9
20511|a,Pitchstone Golem\0|a,|9C|E8|A9
20512|a,Field Stalker\0|a,|9C|E8|A9
20513|a,Skeleton Knight\0|a,|9C|E8|A9
20514|a,Shield Skeleton\0|a,|9C|E8|A9
20515|a,Skeleton Infantryman\0|a,|9C|E8|A9
20516|a,Skeleton Sentinel\0|a,|9C|E8|A9
20517|a,Skeleton Hunter\0|a,|9C|E8|A9
20518|a,Skeleton Hunter Archer\0|a,|9C|E8|A9
20519|a,Skeleton Pikeman\0|a,|9C|E8|A9
20520|a,Pirate Captain Uthanka\0|a,|9C|E8|A9
20521|a,Whinstone Golem\0|a,|9C|E8|A9
20522|a,White Fang\0|a,|9C|E8|A9
20524|a,Grey Wolf Elder\0|a,|9C|E8|A9
20525|a,Gray Wolf\0|a,|9C|E8|A9
20526|a,Obsidian Golem\0|a,|9C|E8|A9
20527|a,Snow Wolf\0|a,|9C|E8|A9
20528|a,Goblin Lord\0|a,|9C|E8|A9
20529|a,Young Brown Keltir\0|a,|9C|E8|A9
20530|a,Young Red Keltir\0|a,|9C|E8|A9
20531|a,Young Prairie Keltir\0|a,|9C|E8|A9
20532|a,Brown Keltir\0|a,|9C|E8|A9
20533|a,Longtail Keltir\0|a,|9C|E8|A9
20534|a,Red Keltir\0|a,|9C|E8|A9
20535|a,Prairie Keltir\0|a,|9C|E8|A9
20536|a,Elder Brown Keltir\0|a,|9C|E8|A9
20537|a,Elder Red Keltir\0|a,|9C|E8|A9
20538|a,Elder Prairie Keltir\0|a,|9C|E8|A9
20539|a,Elder Longtail Keltir\0|a,|9C|E8|A9
20540|a,Gemstone Beast\0|a,|9C|E8|A9
20541|a,Ore Bat\0|a,|9C|E8|A9
20542|a,Skeleton Longbowman\0|a,|9C|E8|A9
20543|a,Ghost\0|a,|9C|E8|A9
20544|a,Elder Keltir\0|a,|9C|E8|A9
20545|a,Young Keltir\0|a,|9C|E8|A9
20546|a,Turek Orc Elder\0|a,|9C|E8|A9
20547|a,Ol Mahum Support Troop\0|a,|9C|E8|A9
20548|a,Ol Mahum Deserter\0|a,|9C|E8|A9
20549|a,Ol Mahum Lord\0|a,|9C|E8|A9
