id|drop_mesh1|icon|durability|weight|material|crystallizable|body_part|handness|random_damage|weapon_type|crystal_type|mp_consume|SS_count|SPS_count|curvature|is_hero
100|LineageWeapons.voodoo_doll_m00_wp|icon.weapon_voodoo_doll_i00|-1|630|13|0|27|1|10|7|0|0|2|2|1000|-1
101|LineageWeapons.scroll_of_wisdom_m00_wp|icon.weapon_scroll_of_wisdom_i00|-1|610|18|1|27|1|10|7|1|0|2|2|1000|-1
102|LineageWeapons.round_shield_m00_sh|icon.shield_round_shield_i00|-1|1390|8|0|28|0|0|0|0|0|0|0|1000|-1
103|LineageWeapons.tower_shield_m00_sh|icon.shield_tower_shield_i00|-1|1240|51|1|28|0|0|0|2|0|0|0|1000|-1
104|LineageWeapons.small_shield_m00_sh|icon.shield_small_shield_i00|-1|6400|1|1|28|0|0|0|3|0|0|0|1000|-1
105|LineageWeapons.implosion_shield_m00_sh|icon.shield_doom_shield_i00|-1|4800|50|1|28|0|0|0|3|0|0|0|1000|-1
106|LineageWeapons.dark_dragon_shield_m00_sh|icon.shield_dark_dragon_shield_i00|-1|4800|50|1|28|0|0|0|3|0|0|0|1000|-1
107|LineageWeapons.composite_shield_m00_sh|icon.shield_composite_shield_i00|-1|1230|51|1|28|0|0|0|2|0|0|0|1000|-1
108|LineageWeapons.masterpiece_shield_m00_sh|icon.shield_masterpiece_shield_i00|-1|5600|1|1|28|0|0|0|3|0|0|0|1000|-1
109|LineageWeapons.shield_of_sola_eclipse_m00_sh|icon.shield_shield_of_sola_eclipse_i00|-1|4800|48|1|28|0|0|0|3|0|0|0|1000|-1
110|LineageWeapons.doom_shield_m00_sh|icon.shield_doom_shield_i00|-1|1200|51|1|28|0|0|0|3|0|0|0|1000|-1
111|LineageWeapons.shield_of_pledge_m00_sh|icon.shield_shield_of_pledge_i00|-1|4800|51|1|28|0|0|0|3|0|0|0|1000|-1
120|LineageWeapons.sword_of_watershadow_m00_wp|icon.weapon_sword_of_watershadow_i00|-1|1550|6|0|27|1|10|1|0|0|2|2|1000|-1
121|LineageWeapons.sword_of_watershadow_m00_wp|icon.weapon_sword_of_watershadow_i00|-1|1540|6|0|27|1|10|1|0|0|2|2|1000|-1
122|LineageWeapons.handmade_sword_m00_wp|icon.weapon_handmade_sword_i00|-1|1570|6|0|27|1|10|1|0|0|2|2|1000|-1
123|LineageWeapons.saber_m00_wp|icon.weapon_saber_i00|-1|1520|8|1|27|1|10|1|1|0|2|2|1000|-1
124|LineageWeapons.twohanded_sword_m00_wp|icon.weapon_two_handed_sword_i00|-1|2180|51|1|7|2|10|1|1|0|2|2|1000|-1
125|LineageWeapons.spinebone_sword_m00_wp|icon.weapon_spinebone_sword_i00|-1|1510|14|1|27|1|10|1|1|0|2|2|1000|-1
126|LineageWeapons.artisans_sword_m00_wp|icon.weapon_artisans_sword_i00|-1|1500|8|1|27|1|10|1|1|0|2|2|1000|-1
127|LineageWeapons.crimson_sword_m00_wp|icon.weapon_crimson_sword_i00|-1|1490|51|1|27|1|10|1|1|0|2|2|1000|-1
128|LineageWeapons.knights_sword_m00_wp|icon.weapon_knights_sword_i00|-1|1500|8|1|27|1|10|1|1|0|2|2|1000|-1
129|LineageWeapons.sword_of_revolution_m00_wp|icon.weapon_sword_of_revolution_i00|-1|1450|51|1|27|1|10|1|1|0|3|3|1000|-1
130|LineageWeapons.elven_sword_m00_wp|icon.weapon_elven_sword_i00|-1|1470|2|1|27|1|10|1|1|0|2|2|1000|-1
131|LineageWeapons.spirits_sword_m00_wp|icon.weapon_spirits_sword_i00|-1|1420|51|1|27|1|10|1|2|0|2|2|1000|-1
132|LineageWeapons.sword_of_limit_m00_wp|icon.weapon_sword_of_limit_i00|-1|1400|51|1|27|1|10|1|2|0|3|3|1000|-1
133|LineageWeapons.raid_sword_m00_wp|icon.weapon_raid_sword_i00|-1|1420|51|1|27|1|10|1|2|0|2|2|1000|-1
134|LineageWeapons.sword_of_nightmare_m00_wp|icon.weapon_sword_of_nightmare_i00|-1|1400|48|1|27|1|10|1|2|0|3|3|1000|-1
135|LineageWeapons.samurai_longsword_m00_wp|icon.weapon_samurai_longsword_i00|-1|1380|1|1|27|1|10|1|2|0|3|3|1000|-1
142|LineageWeapons.kshanberk_m00_wp|icon.weapon_kshanberk_i00|-1|1370|1|1|27|1|10|1|3|0|1|1|1000|-1
143|LineageWeapons.sword_of_mystic_m00_wp|icon.weapon_sword_of_mystic_i00|-1|980|51|1|27|1|10|1|1|0|2|2|1000|-1
144|LineageWeapons.sword_of_occult_m00_wp|icon.weapon_sword_of_occult_i00|-1|970|51|1|27|1|10|1|1|0|2|2|1000|-1
145|LineageWeapons.deathbreath_sword_m00_wp|icon.weapon_deathbreath_sword_i00|-1|920|51|1|27|1|10|1|2|0|3|3|1000|-1
146|LineageWeapons.falchion_m00_wp|icon.weapon_falchion_i00|-1|910|50|1|27|1|10|1|3|0|1|1|1000|-1
147|LineageWeapons.shamshir_m00_wp|icon.weapon_shamshir_i00|-1|830|48|1|27|1|10|1|4|0|1|1|1000|-1
148|LineageWeapons.sword_of_valhalla_m00_wp|icon.weapon_sword_of_valhalla_i00|-1|900|1|1|27|1|10|1|3|0|1|1|1000|-1
149|LineageWeapons.needle_wolverine_m00_wp|icon.weapon_needle_wolverine_i00|-1|840|2|1|27|1|10|1|4|0|1|1|1000|-1
150|LineageWeapons.elemental_sword_m00_wp|icon.weapon_elemental_sword_i00|-1|830|2|1|27|1|10|1|4|0|1|1|1000|-1
151|LineageWeapons.sword_of_miracle_m00_wp|icon.weapon_sword_of_miracle_i00|-1|840|47|1|27|1|10|1|4|0|1|1|1000|-1
152|LineageWeapons.heavy_chisel_m00_wp|icon.weapon_heavy_chisel_i00|-1|1890|8|0|27|1|20|2|0|0|1|1|1000|-1
153|LineageWeapons.sickle_m00_wp|icon.weapon_sickle_i00|-1|1850|8|0|27|1|20|2|0|0|1|1|1000|-1
154|LineageWeapons.mace_m00_wp|icon.weapon_dwarven_mace_i00|-1|1860|6|0|27|1|20|2|0|0|2|2|1000|-1
155|LineageWeapons.heavy_mace_m00_wp|icon.weapon_buzdygan_i00|-1|1800|8|0|27|1|20|2|0|0|2|2|1000|-1
156|LineageWeapons.hand_axe_m00_wp|icon.weapon_hand_axe_i00|-1|1820|8|1|27|1|20|2|1|0|2|2|1000|-1
157|LineageWeapons.spike_club_m00_wp|icon.weapon_spike_club_i00|-1|1750|8|1|27|1|20|2|1|0|2|2|1000|-1
158|LineageWeapons.tarbar_m00_wp|icon.weapon_tarbar_i00|-1|1730|51|1|27|1|20|2|1|0|3|3|1000|-1
159|LineageWeapons.bonebreaker_m00_wp|icon.weapon_bonebreaker_i00|-1|1720|51|1|27|1|20|2|1|0|3|3|1000|-1
160|LineageWeapons.battle_axe_m00_wp|icon.weapon_battle_axe_i00|-1|1720|51|1|27|1|20|2|2|0|2|2|1000|-1
161|LineageWeapons.war_pick_m00_wp|icon.weapon_war_pick_i00|-1|1690|51|1|27|1|20|2|2|0|2|2|1000|-1
162|LineageWeapons.war_axe_m00_wp|icon.weapon_war_axe_i00|-1|1660|51|1|27|1|20|2|2|0|3|3|1000|-1
164|LineageWeapons.elysian_m00_wp|icon.weapon_elysian_i00|-1|1580|1|1|27|1|20|2|4|0|1|1|1000|-1
165|LineageWeapons.basalt_battlehammer_m00_wp|icon.weapon_basalt_battlehammer_i00|-1|1570|47|1|27|1|20|2|5|0|1|1|1000|-1
166|LineageWeapons.heavy_mace_m00_wp|icon.weapon_heavy_mace_i00|-1|1800|8|1|27|1|20|2|1|0|2|2|1000|-1
167|LineageWeapons.scalpel_m00_wp|icon.weapon_scalpel_i00|-1|1810|8|1|27|1|20|2|1|0|2|2|1000|-1
168|LineageWeapons.work_hammer_m00_wp|icon.weapon_work_hammer_i00|-1|1790|8|1|27|1|20|2|1|0|2|2|1000|-1
169|LineageWeapons.skull_breaker_m00_wp|icon.weapon_skull_breaker_i00|-1|1740|51|1|27|1|20|2|1|0|3|3|1000|-1
171|LineageWeapons.deadmans_glory_m00_wp|icon.weapon_deadmans_glory_i00|-1|1600|14|1|27|1|20|2|3|0|1|1|1000|-1
172|LineageWeapons.heavy_bone_club_m00_wp|icon.weapon_heavy_bone_club_i00|-1|1730|14|1|27|1|20|2|1|0|3|3|1000|-1
173|LineageWeapons.skull_graver_m00_wp|icon.weapon_skull_graver_i00|-1|1640|51|1|27|1|20|2|2|0|2|2|1000|-1
174|LineageWeapons.nirvana_axe_m00_wp|icon.weapon_nirvana_axe_i00|-1|1150|51|1|27|1|20|2|2|0|3|3|1000|-1
175|LineageWeapons.art_of_battle_axe_m00_wp|icon.weapon_art_of_battle_axe_i00|-1|1570|49|1|27|1|20|2|3|0|1|1|1000|-1
176|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|1070|13|0|7|4|20|2|0|0|2|2|1000|-1
177|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|1050|13|0|7|4|20|2|0|0|2|2|1000|-1
178|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|1060|14|1|7|4|20|2|1|0|2|2|1000|-1
179|LineageWeapons.mace_of_prayer_m00_wp|icon.weapon_mace_of_prayer_i00|-1|1300|8|1|27|1|20|2|1|0|2|2|1000|-1
180|LineageWeapons.mace_of_judgment_m00_wp|icon.weapon_mace_of_judgment_i00|-1|1280|8|1|27|1|20|2|1|0|2|2|1000|-1
181|LineageWeapons.mace_of_miracle_m00_wp|icon.weapon_mace_of_miracle_i00|-1|1250|8|1|27|1|20|2|1|0|2|2|1000|-1
182|LineageWeapons.doom_hammer_m00_wp|icon.weapon_doom_hammer_i00|-1|1200|8|1|27|1|20|2|1|0|2|2|1000|-1
183|LineageWeapons.mystic_staff_m00_wp|icon.weapon_mystic_staff_i00|-1|1040|13|1|7|4|20|2|1|0|2|2|1000|-1
184|LineageWeapons.conjure_staff_m00_wp|icon.weapon_conjure_staff_i00|-1|1030|1|1|7|4|20|2|1|0|2|2|1000|-1
185|LineageWeapons.staff_of_mana_m00_wp|icon.weapon_staff_of_mana_i00|-1|1040|13|1|7|4|20|2|1|0|2|2|1000|-1
186|LineageWeapons.staff_of_magicpower_m00_wp|icon.weapon_staff_of_magicpower_i00|-1|1020|13|1|7|4|20|2|1|0|2|2|1000|-1
187|LineageWeapons.atuba_hammer_m00_wp|icon.weapon_atuba_hammer_i00|-1|1010|51|1|27|4|20|2|1|0|3|3|1000|-1
188|LineageWeapons.ghost_staff_m00_wp|icon.weapon_ghost_staff_i00|-1|1000|13|1|7|4|20|2|1|0|3|3|1000|-1
189|LineageWeapons.life_stick_m00_wp|icon.weapon_life_stick_i00|-1|1180|13|1|27|1|20|2|1|0|3|3|1000|-1
190|LineageWeapons.atuba_mace_m00_wp|icon.weapon_atuba_mace_i00|-1|1010|51|1|7|2|20|2|1|0|3|3|1000|-1
191|LineageWeapons.heavy_doom_hammer_m00_wp|icon.weapon_heavy_doom_hammer_i00|-1|1020|51|1|27|2|20|2|2|0|2|2|1000|-1
192|LineageWeapons.crystal_staff_m00_wp|icon.weapon_crystal_staff_i00|-1|1020|23|1|7|4|20|2|2|0|2|2|1000|-1
193|LineageWeapons.stick_of_faith_m00_wp|icon.weapon_stick_of_faith_i00|-1|1160|13|1|27|1|20|2|2|0|2|2|1000|-1
194|LineageWeapons.heavy_doom_axe_m00_wp|icon.weapon_heavy_doom_axe_i00|-1|1010|51|1|7|4|20|2|2|0|2|2|1000|-1
195|LineageWeapons.cursed_staff_m00_wp|icon.weapon_cursed_staff_i00|-1|1000|13|1|7|4|20|2|2|0|2|2|1000|-1
196|LineageWeapons.stick_of_eternity_m00_wp|icon.weapon_stick_of_eternity_i00|-1|1130|13|1|27|1|20|2|2|0|3|3|1000|-1
197|LineageWeapons.paradia_staff_m00_wp|icon.weapon_paradia_staff_i00|-1|1010|13|1|7|4|20|2|2|0|3|3|1000|-1
198|LineageWeapons.inferno_staff_m00_wp|icon.weapon_inferno_staff_i00|-1|1000|13|1|7|4|20|2|2|0|3|3|1000|-1
199|LineageWeapons.paagrio_hammer_m00_wp|icon.weapon_paagrio_hammer_i00|-1|1010|48|1|7|2|20|2|2|0|3|3|1000|-1
200|LineageWeapons.sages_staff_m00_wp|icon.weapon_sages_staff_i00|-1|1000|13|1|7|4|20|2|2|0|3|3|1000|-1
201|LineageWeapons.club_of_nature_m00_wp|icon.weapon_club_of_nature_i00|-1|1100|13|1|27|1|20|2|2|0|3|3|1000|-1
202|LineageWeapons.mace_of_underworld_m00_wp|icon.weapon_mace_of_underworld_i00|-1|1090|51|1|27|1|20|2|2|0|3|3|1000|-1
203|LineageWeapons.paagrio_axe_m00_wp|icon.weapon_paagrio_axe_i00|-1|990|48|1|7|4|20|2|2|0|3|3|1000|-1
204|LineageWeapons.deadmans_staff_m00_wp|icon.weapon_deadmans_staff_i00|-1|1010|14|1|7|4|20|2|2|0|3|3|1000|-1
205|LineageWeapons.ghouls_staff_m00_wp|icon.weapon_ghouls_staff_i00|-1|1000|14|1|7|4|20|2|2|0|3|3|1000|-1
206|LineageWeapons.demons_staff_m00_wp|icon.weapon_demons_staff_i00|-1|990|13|1|7|4|20|2|2|0|3|3|1000|-1
207|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|980|1|1|7|4|20|2|3|0|1|1|1000|-1
208|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|970|13|1|7|4|20|2|3|0|1|1|1000|-1
209|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|960|13|1|7|4|20|2|3|0|1|1|1000|-1
210|LineageWeapons.staff_of_evil_sprit_m00_wp|icon.weapon_staff_of_evil_sprit_i00|-1|930|13|1|7|4|20|2|3|0|1|1|1000|-1
211|LineageWeapons.apprentices_staff_m00_wp|icon.weapon_apprentices_staff_i00|-1|910|13|1|7|4|20|2|3|0|1|1|1000|-1
212|LineageWeapons.dasparions_staff_m00_wp|icon.weapon_dasparions_staff_i00|-1|920|47|1|7|4|20|2|4|0|1|1|1000|-1
213|LineageWeapons.worldtrees_branch_m00_wp|icon.weapon_worldtrees_branch_i00|-1|900|13|1|7|4|20|2|4|0|1|1|1000|-1
214|LineageWeapons.imperial_staff_m00_wp|icon.weapon_imperial_staff_i00|-1|910|13|1|7|4|20|2|5|0|1|1|1000|-1
215|LineageWeapons.doomed_dagger_m00_wp|icon.weapon_doomed_dagger_i00|-1|1130|8|0|27|12|5|3|0|0|1|1|1000|-1
216|LineageWeapons.dirk_m00_wp|icon.weapon_dirk_i00|-1|1130|8|0|27|12|5|3|0|0|2|2|1000|-1
217|LineageWeapons.shining_knife_m00_wp|icon.weapon_shining_knife_i00|-1|1120|2|0|27|12|5|3|0|0|2|2|1000|-1
218|LineageWeapons.throw_knife_m00_wp|icon.weapon_throw_knife_i00|-1|1120|51|0|27|12|5|3|0|0|2|2|1000|-1
219|LineageWeapons.sword_breaker_m00_wp|icon.weapon_sword_breaker_i00|-1|1110|8|0|27|12|5|3|0|0|2|2|1000|-1
220|LineageWeapons.handiwork_dagger_m00_wp|icon.weapon_handiwork_dagger_i00|-1|1100|49|1|27|12|5|3|1|0|2|2|1000|-1
221|LineageWeapons.assassin_knife_m00_wp|icon.weapon_assassin_knife_i00|-1|1100|8|1|27|12|5|3|1|0|2|2|1000|-1
222|LineageWeapons.dirk_m00_wp|icon.weapon_dirk_i00|-1|1090|8|1|27|12|5|3|1|0|2|2|1000|-1
223|LineageWeapons.kukuri_m00_wp|icon.weapon_kukuri_i00|-1|1080|51|1|27|12|5|3|1|0|2|2|1000|-1
224|LineageWeapons.maingauche_m00_wp|icon.weapon_maingauche_i00|-1|1070|51|1|27|12|5|3|1|0|3|3|1000|-1
225|LineageWeapons.mithril_dagger_m00_wp|icon.weapon_mithril_dagger_i00|-1|1060|2|1|27|12|5|3|1|0|3|3|1000|-1
226|LineageWeapons.cursed_dagger_m00_wp|icon.weapon_cursed_dagger_i00|-1|1040|2|1|27|12|5|3|2|0|2|2|1000|-1
227|LineageWeapons.stiletto_m00_wp|icon.weapon_stiletto_i00|-1|1030|51|1|27|12|5|3|2|0|2|2|1000|-1
228|LineageWeapons.crystal_dagger_m00_wp|icon.weapon_crystal_dagger_i00|-1|1000|23|1|27|12|5|3|2|0|3|3|1000|-1
229|LineageWeapons.kris_m00_wp|icon.weapon_kris_i00|-1|980|2|1|27|12|5|3|3|0|1|1|1000|-1
230|LineageWeapons.needle_wolverine_m00_wp|icon.weapon_needle_wolverine_i00|-1|1040|51|1|27|12|5|3|2|0|2|2|1000|-1
231|LineageWeapons.grace_dagger_m00_wp|icon.weapon_grace_dagger_i00|-1|1020|51|1|27|12|5|3|2|0|3|3|1000|-1
232|LineageWeapons.darkelven_dagger_m00_wp|icon.weapon_darkelven_dagger_i00|-1|1050|51|1|27|12|5|3|2|0|2|2|1000|-1
233|LineageWeapons.dark_screamer_m00_wp|icon.weapon_dark_screamer_i00|-1|1010|51|1|27|12|5|3|2|0|3|3|1000|-1
234|LineageWeapons.demons_sword_m00_wp|icon.weapon_demons_sword_i00|-1|970|48|1|27|12|5|3|3|0|1|1|1000|-1
235|LineageWeapons.bloody_orchid_m00_wp|icon.weapon_bloody_orchid_i00|-1|960|48|1|27|12|5|3|4|0|1|1|1000|-1
236|LineageWeapons.soul_separator_m00_wp|icon.weapon_soul_separator_i00|-1|950|1|1|27|12|5|3|4|0|1|1|1000|-1
237|LineageWeapons.angel_slayer_m00_wp|icon.weapon_angel_slayer_i00|-1|950|14|1|27|12|5|3|5|0|1|1|1000|-1
238|LineageWeapons.dagger_of_mana_m00_wp|icon.weapon_dagger_of_mana_i00|-1|750|51|1|27|12|5|3|1|0|2|2|1000|-1
239|LineageWeapons.mystic_knife_m00_wp|icon.weapon_mystic_knife_i00|-1|760|51|1|27|12|5|3|1|0|2|2|1000|-1
240|LineageWeapons.conjure_knife_m00_wp|icon.weapon_conjure_knife_i00|-1|750|51|1|27|12|5|3|1|0|2|2|1000|-1
241|LineageWeapons.knife_o'_silenus_m00_wp|icon.weapon_knife_o'_silenus_i00|-1|750|6|1|27|12|5|3|1|0|2|2|1000|-1
242|LineageWeapons.dagger_of_magicflame_m00_wp|icon.weapon_dagger_of_magicflame_i00|-1|750|51|1|27|12|5|3|2|0|2|2|1000|-1
243|LineageWeapons.hell_knife_m00_wp|icon.weapon_hell_knife_i00|-1|740|48|1|27|12|5|3|3|0|1|1|1000|-1
244|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
245|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
246|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
247|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
248|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
249|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
250|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
251|||-1|0|19|0|27|3|5|0|0|0|0|0|1000|-1
252|||-1|0|19|0|27|3|10|0|0|0|0|0|1000|-1
253|LineageWeapons.spike_glove_m00_wp|icon.weapon_spike_glove_i00|-1|1590|19|0|7|7|5|5|0|0|1|1|1000|-1
254|LineageWeapons.iron_glove_m00_wp|icon.weapon_iron_glove_i00|-1|1580|8|0|7|7|5|5|0|0|1|1|1000|-1
255|LineageWeapons.foxs_nail_m00_wp|icon.weapon_foxs_nail_i00|-1|1560|8|0|7|7|5|5|0|0|2|2|1000|-1
256|LineageWeapons.vipers_canine_m00_wp|icon.weapon_vipers_canine_i00|-1|1570|8|0|7|7|5|5|0|0|2|2|1000|-1
257|LineageWeapons.vipers_canine_m00_wp|icon.weapon_vipers_canine_i00|-1|1560|8|0|7|7|5|5|0|0|2|2|1000|-1
258|LineageWeapons.baghnakh_m00_wp|icon.weapon_baghnakh_i00|-1|1540|8|1|7|7|5|5|1|0|2|2|1000|-1
